district	schoolName
128	805,1597,2121,2192,2193,2477,7942,7943,9441
129	959,1600,1606,2754,3540,3818,3889,4024,4420,4584,5849,6485,7058,7059,7118,7687,7704,7843,9030,10030
130	159,1597,7408,8808
131	1607,1608,2397,7153,8612
132	1179,1610,2251,3474,3561,5406,7515,8114
133	522,988,1480,1540,1609,1620,1633,2473,3819,4501,4922,5464,5503,5533,7066,7996,8476,8848,9639,9752,9959
134	307,308,1648,1650,1651,1949,3012,5418,5419,6116,6753,7474,9494
135	328,1649,1652,1950,3013,6754,7475,9495
136	693,1105,1562,1711,3562,7918,8791,9781,10052
137	1718,6241
138	1745,1746
139	91,936,1004,1584,1676,1747,1748,1749,1811,2898,3065,4170,4319,5266,5313,5669,5719,5859,6352,6634,7034,7249,7873,8363,8394,8440,9976
140	220,438,1059,1181,1240,1271,1390,1669,1768,1769,1770,2107,2429,2466,2590,2599,2729,3517,3573,4044,4205,5174,5488,5541,5953,6429,6624,7456,7772,7825,7922,9731,10136
141	3081,5920,7834,8761,10082
142	1773
143	1788
144	235,565,786,1327,1510,1522,1789,1790,1856,2034,2440,2664,3120,3160,3788,3842,3947,4009,4102,4208,4645,4705,5062,5104,5161,5189,5312,5367,5723,5860,6166,6273,6735,6837,6970,7034,7606,7816,7820,7871,7987,8463,8895,9190,9439,9497,9568,9687,10119
145	1796
146	1800,1801
147	1669,1837,1838,1976,2009,2252,2796,6657,8009,8866,8954,9666
148	1878,4461,9776
149	314,1166,1172,1564,1583,1615,1843,1882,1883,1884,1885,1886,1887,1888,1889,1917,2041,2119,2562,2932,3105,3247,3327,3430,3453,3522,3681,4435,4461,4686,5189,5223,5615,6032,6236,6364,7178,7521,7525,7590,7740,7815,8443,9013,9056,9475,9642,9830,10162
150	1012,1264,1629,1894,1895,2043,2395,4557,4884,5038,5882,6245,6569,6665,6947,7131,8250,8290,9229,9438,9492,9878
151	450,1335,1742,1896,1897,3985,4250,4251,6361,8908
152	1331,1899,5122,8198
153	1912
154	1922
155	1930,8224,8225
156	73,214,997,1951,1952,2035,2163,3516,3668,3669,4493,4675,5762,5952,7082,7524,7941,7944,8150,8505,8955,9085,9087,9370,9754,9783,10020,10158
157	1953
158	1955,5835,6241
159	1955
