city	schoolName
267	0,2,3,4,5,6,11,15,16,19,20,21,22,25,27,28,30,34,35,38,39,40,41,44,45,46,49,50,51,52,53,54,55,56,57,77,78,79,85,86,89,92,93,95,102,126,148,149,156,162,183,184,191,194,195,203,205,206,207,209,242,243,244,246,247,249,251,252,256,257,258,260,261,263,264,267,270,271,272,302,303,305,306,350,351,354,355,381,386,387,398,399,406,407,409,410,415,417,419,420,421,425,427,428,429,431,432,434,447,448,479,480,481,482,493,494,496,497,498,511,528,529,539,540,541,560,588,589,612,613,614,615,628,629,630,641,642,651,652,657,658,659,662,668,670,704,705,710,711,726,727,729,732,737,741,742,759,761,770,771,775,799,800,824,825,826,857,858,859,861,862,863,878,882,885,888,889,890,909,910,912,913,927,929,966,968,994,1007,1008,1055,1056,1061,1064,1069,1081,1087,1088,1091,1096,1097,1106,1110,1113,1119,1120,1123,1124,1125,1129,1130,1162,1165,1167,1173,1174,1175,1194,1197,1198,1201,1224,1226,1229,1230,1251,1253,1262,1263,1272,1273,1278,1279,1280,1281,1338,1340,1348,1349,1350,1351,1352,1353,1354,1355,1356,1370,1371,1373,1374,1375,1376,1377,1378,1379,1381,1404,1407,1436,1437,1439,1468,1469,1484,1488,1491,1492,1515,1516,1517,1520,1521,1566,1567,1569,1570,1571,1572,1573,1574,1575,1582,1591,1593,1598,1601,1605,1630,1663,1664,1665,1686,1688,1692,1696,1700,1701,1706,1707,1708,1715,1716,1717,1719,1720,1721,1722,1727,1728,1729,1744,1783,1795,1796,1806,1807,1808,1809,1810,1826,1853,1862,1865,1866,1869,1870,1875,1876,1910,1914,1915,1921,1923,1928,1941,1958,1959,1962,1969,1970,1981,1985,1986,1991,1999,2002,2003,2027,2028,2101,2114,2115,2145,2146,2147,2148,2154,2184,2185,2234,2235,2236,2249,2263,2264,2265,2267,2268,2279,2292,2294,2295,2308,2309,2348,2362,2363,2410,2426,2442,2451,2452,2459,2460,2493,2494,2495,2496,2522,2523,2530,2540,2541,2542,2543,2548,2550,2554,2557,2558,2584,2585,2593,2605,2606,2607,2608,2625,2644,2645,2646,2648,2649,2650,2656,2657,2667,2683,2684,2723,2724,2728,2746,2747,2748,2749,2765,2766,2784,2785,2803,2804,2805,2806,2807,2808,2824,2876,2877,2879,2880,2883,2885,2888,2908,2909,2917,2918,2921,2922,2937,2945,2946,2947,2948,2955,2957,2963,2964,2984,2985,2999,3000,3021,3022,3030,3035,3039,3040,3041,3042,3055,3057,3058,3060,3061,3062,3067,3068,3071,3072,3109,3110,3126,3129,3132,3150,3153,3155,3156,3174,3175,3183,3184,3186,3191,3244,3252,3254,3255,3274,3277,3279,3284,3290,3300,3302,3303,3306,3311,3313,3335,3336,3340,3354,3355,3366,3371,3374,3375,3396,3397,3409,3410,3424,3426,3436,3437,3439,3441,3442,3443,3444,3445,3446,3463,3479,3480,3482,3485,3497,3504,3508,3515,3520,3521,3530,3537,3538,3548,3549,3550,3551,3552,3553,3555,3556,3571,3582,3583,3585,3586,3587,3591,3596,3597,3631,3658,3659,3662,3663,3665,3682,3683,3687,3689,3690,3697,3698,3699,3743,3744,3753,3764,3765,3782,3783,3784,3787,3803,3804,3805,3808,3809,3833,3836,3837,3838,3840,3847,3850,3856,3857,3858,3861,3873,3879,3880,3882,3885,3886,3887,3898,3899,3903,3904,3905,3916,3917,3925,3926,3953,3954,3992,4007,4028,4029,4030,4031,4059,4074,4075,4077,4081,4086,4087,4091,4092,4098,4099,4115,4116,4117,4136,4138,4139,4141,4142,4143,4144,4145,4146,4147,4149,4171,4172,4173,4174,4175,4178,4182,4184,4195,4215,4216,4217,4230,4253,4258,4259,4260,4304,4342,4358,4359,4361,4362,4363,4364,4386,4417,4418,4419,4427,4430,4432,4442,4455,4458,4459,4485,4488,4504,4507,4510,4517,4519,4521,4530,4544,4546,4547,4552,4563,4575,4578,4588,4589,4595,4610,4611,4612,4620,4622,4657,4658,4676,4677,4723,4726,4727,4728,4729,4730,4748,4749,4772,4776,4812,4813,4817,4820,4822,4831,4837,4838,4843,4844,4845,4862,4923,4924,4939,4948,4978,4979,5002,5003,5014,5015,5018,5019,5020,5022,5043,5047,5048,5050,5059,5060,5078,5086,5092,5097,5116,5117,5128,5131,5133,5136,5146,5153,5162,5186,5204,5205,5215,5216,5279,5285,5286,5287,5289,5290,5291,5293,5300,5305,5306,5329,5350,5351,5353,5355,5356,5372,5373,5376,5377,5378,5379,5380,5381,5382,5384,5385,5387,5389,5390,5391,5392,5394,5408,5409,5432,5433,5434,5446,5453,5454,5476,5513,5527,5536,5537,5544,5545,5550,5551,5552,5553,5561,5562,5570,5582,5583,5588,5589,5599,5600,5601,5602,5624,5625,5654,5677,5678,5679,5686,5687,5697,5698,5707,5708,5713,5714,5715,5716,5717,5733,5741,5757,5774,5788,5800,5803,5805,5812,5813,5814,5824,5825,5828,5848,5890,5892,5907,5908,5918,5945,5946,5956,5957,5959,5960,5961,5978,6000,6001,6003,6031,6032,6033,6091,6092,6101,6102,6106,6107,6124,6126,6131,6217,6218,6221,6237,6243,6257,6260,6270,6277,6284,6285,6286,6289,6290,6291,6292,6315,6317,6322,6325,6331,6347,6348,6349,6368,6369,6370,6373,6377,6379,6380,6383,6384,6386,6392,6397,6398,6400,6407,6408,6413,6416,6421,6422,6428,6444,6447,6451,6453,6454,6455,6456,6461,6462,6463,6465,6471,6472,6488,6489,6490,6491,6508,6509,6510,6511,6512,6513,6549,6550,6552,6553,6554,6563,6564,6566,6586,6671,6675,6719,6720,6726,6733,6738,6743,6744,6746,6760,6761,6765,6770,6773,6825,6826,6828,6830,6832,6833,6834,6840,6841,6855,6856,6858,6861,6862,6868,6869,6898,6899,6912,6913,6914,6915,6916,6917,6918,6919,6930,6931,6958,6959,6960,6961,6979,6980,6982,6983,6988,7006,7018,7019,7020,7021,7030,7042,7043,7046,7047,7052,7063,7068,7074,7142,7183,7184,7186,7188,7227,7228,7231,7238,7260,7261,7273,7276,7277,7293,7296,7326,7327,7328,7341,7342,7362,7364,7365,7366,7369,7372,7373,7375,7376,7377,7378,7397,7398,7402,7403,7443,7444,7451,7455,7458,7459,7464,7465,7509,7513,7558,7572,7573,7581,7582,7583,7584,7585,7586,7587,7595,7596,7597,7599,7604,7609,7610,7624,7625,7628,7630,7653,7654,7655,7685,7696,7733,7735,7747,7754,7757,7758,7759,7776,7786,7787,7809,7817,7842,7850,7857,7858,7861,7862,7863,7864,7885,7886,7914,7915,7986,7989,7993,8085,8088,8127,8128,8132,8133,8134,8136,8137,8138,8139,8140,8141,8142,8162,8204,8239,8245,8246,8247,8248,8265,8272,8298,8305,8306,8310,8317,8327,8328,8341,8342,8358,8359,8373,8381,8382,8385,8386,8388,8390,8397,8398,8429,8430,8431,8489,8490,8491,8530,8531,8535,8552,8555,8578,8579,8585,8586,8588,8589,8590,8593,8595,8596,8726,8727,8754,8764,8801,8804,8805,8811,8812,8827,8828,8831,8857,8869,8871,8872,8873,8874,8881,8882,8883,8884,8885,8903,8920,8921,8922,8929,8940,8946,8964,8965,8966,8970,8971,8972,8976,8977,8978,8979,8980,8981,9014,9015,9028,9043,9044,9045,9046,9063,9072,9097,9132,9136,9137,9140,9148,9149,9158,9161,9198,9202,9203,9204,9207,9208,9209,9210,9225,9226,9281,9282,9285,9288,9298,9311,9312,9341,9342,9343,9365,9371,9373,9374,9393,9394,9395,9412,9433,9434,9450,9451,9461,9463,9464,9486,9487,9491,9501,9502,9503,9507,9508,9510,9511,9512,9513,9514,9515,9516,9517,9518,9519,9520,9521,9522,9527,9534,9538,9539,9546,9547,9548,9549,9556,9557,9560,9561,9586,9587,9593,9594,9595,9603,9613,9616,9619,9620,9631,9635,9636,9638,9643,9656,9679,9680,9709,9710,9711,9722,9723,9729,9750,9762,9763,9780,9785,9789,9790,9791,9801,9802,9803,9819,9822,9823,9824,9828,9829,9836,9837,9838,9839,9840,9861,9885,9890,9891,9895,9896,9897,9898,9899,9901,9913,9914,9915,9925,9926,9927,9932,9933,9939,9940,9952,9953,9957,9963,9970,9971,9972,9985,9993,10014,10015,10023,10032,10070,10071,10072,10073,10074,10075,10076,10083,10084,10087,10088,10104,10105,10113,10114,10125,10126,10137,10139,10145,10146,10147,10148,10161,10175,10200,10201,10205,10211,10212,10213,10215,10216,10248,10249
268	2474,4969
269	500,2659,2759,2786,4280,4888,4942,5032,5041,5514,6710,7504,8443,8550,9734,9787
270	679,875,1775,1850,1934,3749,3970,4653,4901,4902,4905,5103,5137,5778,6258,6293,6298,6548,7038,7821,8377,8687,9280,9676,9770
271	530,2676,2967,3259,3422,3664,3755,3950,4534,4907,4914,5407,7566
272	3474,4530,5406,8765,9725
273	709,772,774,1302,2356,2693,3076,3673,3780,4249,4918,5044,6364,6468,6541,6578,7854,8228,8449,8618,8619,8880,8908,9058,9437,9600,10048,10171,10198
274	1945,3876,4196,4920,4921,8855
275	7457
276	1669,6835
277	2783,4949,4950,9175,9176,9219
278	4954,4955,5320,5321,8077,8078,9426,9427
279	3509,4042,4561,4957,5658,6215,6448,8654
280	6683
281	4964,6225,7657
282	2614,4703,4990,6824,9328
283	2812,2813,3214,3215,4896,4897,4971,4972,6728,6729,6865,7431,7432,7470,7471,8331,8332
284	1658
285	1854,4968,4984,4985,4986,6346,9086
286	7715,10108
287	288,570,1184,1863,2127,2998,3630,4148,4181,4323,4998,5508,5524,5816,6097,6696,6959,7652,8756
288	349,461,462,1955,2178,2398,2404,2406,2437,2622,2672,2674,2767,2924,2933,3379,3529,4267,4388,4500,4508,4631,5004,5005,5203,5223,5236,5237,5694,6125,6318,6415,7215,7395,8416,8519,8520,8877,8890,9181,9492,9893,10085
289	5710,8125,8702
290	3791,7552,8003,9001,9006
291	4626,5052,5053,6213,6436,7710
292	2014,5058
293	4443,5080,10008
294	5093,5094
295	5139,5140,5265,6148,6269,7999,8125,8679
296	159,5145,5871,7408
297	5148
298	5158
299	1434,2143,3168,3256,3560,4197,5222,5225,7151,9339,9340
300	5247,5248
301	1266,4461,4553,4719,5252,7521
302	457,5269
303	164,324,403,555,558,2355,2630,2896,3661,4390,4496,4665,5085,5154,5275,5276,5780,6852,7484,8908,9623,10021
304	1368,5277,5278,8307,10178
305	821,1892,2857,2952,3507,4009,4498,4997,5084,5171,5191,5297,5298,5299,5304,6008,7682,9201,9622,10130
306	1157,5310,9580
307	201,2978,2979,3173,3831,3832,5322,5323,6492,6493
308	577,1182,1256,1841,2737,4865,4890,4919,5163,5327,5328,5400,5976,6060
309	127,725,769,798,924,925,970,979,1011,1154,1188,1199,1206,1256,1330,1418,1455,1497,1592,1725,1855,1925,2190,2489,2545,2699,2711,2863,2889,2960,3026,3167,3301,3337,3406,3430,3684,3802,3884,3960,3979,4027,4221,4225,4322,4464,4492,4606,4750,4773,4946,4996,5087,5223,5243,5253,5340,5402,5449,5592,5622,5725,5849,6002,6276,6316,6329,6423,6662,6816,6874,7263,7274,7313,7348,7480,7481,7568,7577,7779,7818,8207,8303,8510,8664,8720,8762,8769,9193,9332,9787,9814,9965,9989,10080
310	3305
311	284,514,1193,2113,3514,5368,5458,6117,6238,6598,8640
312	3423,7187
313	1,23,24,26,29,37,42,43,47,190,192,250,253,265,269,273,274,275,383,384,422,426,437,477,532,533,561,579,580,616,631,773,819,820,852,860,867,868,967,969,1057,1068,1080,1098,1203,1220,1242,1252,1322,1323,1324,1357,1380,1498,1528,1529,1553,1554,1568,1595,1693,1756,1757,1758,1759,1784,1822,1824,1830,1906,1907,1909,1973,1974,2029,2149,2152,2153,2168,2256,2257,2261,2262,2380,2553,2624,2669,2996,3052,3053,3054,3130,3131,3132,3138,3139,3140,3152,3169,3253,3276,3283,3353,3388,3440,3462,3547,3570,3592,3700,3839,3869,3982,4007,4194,4219,4237,4238,4283,4284,4303,4351,4385,4447,4535,4591,4592,4597,4724,4806,4828,4833,4863,4947,5134,5135,5175,5284,5360,5361,5374,5383,5386,5388,5393,5410,5459,5460,5461,5509,5510,5548,5549,5571,5787,5789,5801,5804,5827,5896,5897,5910,5944,5947,5948,5955,5963,5974,6143,6144,6282,6283,6333,6387,6464,6535,6536,6537,6538,6734,6932,6985,6986,6987,7051,7086,7147,7198,7199,7233,7237,7268,7269,7270,7292,7297,7298,7367,7371,7396,7594,7598,7614,7695,7760,7840,7841,7846,7852,7884,7936,7937,7979,8143,8203,8238,8268,8269,8297,8340,8374,8375,8486,8556,8557,8623,8709,8711,8712,8752,8755,8796,8797,8799,8904,8987,8991,9008,9009,9029,9032,9109,9114,9150,9164,9273,9274,9409,9410,9411,9452,9454,9509,9545,9550,9618,9630,9797,9815,9886,9887,9888,9889,9912,9929,9931,10013,10067,10068,10069,10086,10206,10207
314	1703,2175,3717,5397,5398,6878,7411,8106,9698
315	1111,5183,5411
316	10124
317	5452
318	5456,5457
319	1635,3959,4203,4446,5223,5242,5495,5496,5497,5499,5500,5634,5705,6112,6114,7060,7855,9174,9671,9781,9943,9986,10079
320	294,2177,3383,4426,4429,4505,4556,5223,5516,5518,5519,5744,6009,6244,6246,7039,8391,8392,8443,9147
321	1564
322	5579
323	660,3671,5586,5587,5878,6020,6757,6892
324	796,1128,1318,2655,3492,3493,3623,4630,5223,5595,5596,5597,5598,5840,6359,7751,8319,8363,8418,8749,9559,9753
325	4317,5663,5664,5665
326	4333,4368,5396,5676,5680,5683
327	9585
328	212,1115,4045,4569,4586,5031,5753,5754,6184,9570
329	2692,5231
330	1975,1987,1988,1990
331	5832
332	5842,8079
333	3148
334	864,5856
335	5882,8250
336	5829,5904,9781
337	836,1046,1320,1738,3003,3031,3326,3822,4010,5905,5906,5935,6969,7390,7644,8208,8611
338	3430,5072
339	116,221,233,1702,2476,2487,2753,3110,3998,4001,4520,4569,5480,5648,5913,5914,6846,7358,7928,7929,8320,8693,9069,9472,9809,10120,10202
340	1904,5970,5971
341	2378,4479,8732
342	9003
343	3714,5324,5325,5879,6006,8636,9022
344	204,466,1290,2210,4582,4625,5732,6012,6013,7094,7487,7773,7866,8891,9159,9999
345	776,1429,1518,2046,2047,2304,2305,2324,2325,2330,2983,2988,3566,3567,4911,4912,4930,4943,4944,5239,5364,5365,6063,6064,6163,6164,6425,6866,7137,8464,9247,9248,9592
346	152,189,218,633,634,902,1089,1199,1406,1543,1782,1919,2253,2816,2826,2839,2903,2931,3009,3033,3305,3312,3327,3481,3648,3706,3707,3867,4407,4428,4536,4569,4627,4895,4997,5503,5706,5761,5772,5980,6073,6486,6800,6827,7130,7133,7325,7753,7778,7848,7865,8344,8393,8542,8545,8715,8723,8776,8848,8968,9141,9462,9639,10007,10079,10157
347	6083,7423
348	1066,1386,1395,1871,5817,6095,6099,6100,6231,7262,8196,9973
349	6108
350	3106
351	1180,1183,1443,2280,4206,4207,4715,4798,4800,5126,5127,6116,6125,6127,6139,6140,6185,6186,7450,7452,8334,9566,9567
352	2273
353	486,2670,3337,3733,4899,4900,5619,5620,5621,6132,6133,6134,8229,8230,8274,8275,8660,9416,9781
354	2782,4951
355	784,946,3207,4903,6123,6149,9279,9746
356	296,842,845,1114,2640,2643,4088,5515,5660,5661,5885,6151,6157,7579,7762,7763,10190
357	567,1367,1674,1982,3190,4366,5934,6180,6181,6228,7090,9113,9732
358	199,536,692,789,809,1053,1239,1400,1673,1877,2061,2138,2691,2788,3046,3978,4043,4167,4891,5010,5045,5631,5632,5633,5773,5972,6185,6188,6189,6190,6191,6241,6524,6943,7427,7428,7450,7500,7641,7728,8313,8329,8835,8892,8893,8894,9243,9418,9423,9493,9583,9659,9670,9690
359	435,1599
360	2331,6207,6208
361	4463,6266,6267,8482
362	319,321,879,2170,2705,3289,3394,4348,4755,5662,6104,8501,8769,9134
363	181
364	312,459,672,1916,2255,2492,2589,5261,6125,6300,6301,6302,6303,6304,6441,6606,6616,7422,8401,8951,9163,9238,9681,9761
365	304,829,1151,2756,3892,5863,6256,6320,6323,6326,6327,6328,6409,6557,7141,7379,7554,7705,7988,8368,8466,8515,8786,9476,9628,9868
366	703,801,1597,1725,3675,4321,4335,4502,4759,5035,5220,6334,6335,6727,6954,8948
367	2712,6354
368	2315,2618,3229,6374,6375,6376,6378,8337,9074,9355,9356,10233
369	2214,8424
370	656,960,961,1099,2591,3774,4403,4529,5223,6417,6418,8666,9956
371	73,2066,2660,3841,4191,4281,5689,6431,6432,6433,6434,7913,8878
372	3652
373	4068,4530,6474,6475,6476,7740,8443,9590
374	8975
375	3387,4080,4095,4849,5524,9935
376	6779
377	442,581,1629,2088,2159,2224,2611,4525,4545,4548,4649,4982,4991,5357,5366,6372,6403,6560,6561,6920,7969,8606,8686,8826,9139,10033
378	6570,6572
379	6612
380	1143,6622
381	1879,2654,3063,5538,5932,6635,6638,6639,8440
382	48,107,110,239,240,245,330,364,365,366,367,523,564,586,599,602,606,610,619,620,632,664,779,795,840,842,973,1090,1102,1134,1202,1207,1425,1531,1532,1611,1645,1829,1839,1863,1927,1977,1979,1993,1996,2021,2022,2023,2117,2118,2169,2171,2411,2524,2633,2634,2651,2652,2707,2726,2866,2884,2886,2891,2919,2941,2943,2975,2984,3280,3286,3305,3319,3338,3352,3368,3386,3430,3458,3580,3588,3694,3728,3865,3929,4067,4088,4113,4155,4161,4177,4193,4206,4293,4302,4324,4456,4489,4680,4682,4809,4883,4946,5056,5064,5069,5091,5109,5201,5206,5207,5223,5259,5292,5295,5296,5462,5528,5529,5609,5610,5614,5712,5748,5834,5893,5949,6005,6115,6141,6332,6356,6388,6642,6643,6644,6645,6646,6647,6648,6649,6650,6651,6652,6653,6654,7023,7107,7158,7220,7320,7437,7518,7551,7694,7849,7851,7889,7930,7931,7971,8004,8169,8319,8497,8629,8658,8667,8704,8798,8820,8879,9067,9107,9110,9135,9165,9381,9382,9404,9405,9611,9853,9864,9911,9984,10224,10234,10242
383	3465
384	173,1033,1635,1661,1777,1832,1900,1995,2350,2448,2588,2742,2907,3265,4360,4465,4970,5069,5185,5228,5442,5526,5744,5771,6045,6051,6052,6066,6439,6677,6686,6687,6688,6906,6908,6957,7232,7593,7849,8039,8107,8146,8261,8264,8409,8577,8825,9062,9677
385	59,1670,5792,5887,6024,6477,8007,9220
386	499,1558,5250,8576
387	328,551,552,717,899,900,1021,1022,1602,1648,1649,1650,1651,1652,1949,1950,2067,2068,2135,2300,2301,2338,2339,2696,2699,2739,2740,2818,2819,3023,3024,3653,3908,3909,3918,5174,5224,5238,5694,5695,6045,6046,6236,6659,6660,6753,6754,7462,7507,7615,8839,8840,9122,9494,9495,9609,9610,9624,9626,9668,9669,10089,10136
388	61,1302,1333,1624,2989,3176,3810,4416,4450,4562,4605,4934,5151,5240,5864,6712,6789,6853,6854,6962,7305,7354,7629,7853,7895,7980,8237,8954,8988,9764,9865,10197
389	64,1818,5837,6782,8380
390	3620,3621
391	6805
392	6808
393	3088,5988,6534,6811,6812,7339,10004
394	6813
395	6815,7737
396	965,1603,4008,4334,4353,5937,6235,6363,6762,6818,6819,6820,7201,7258,7290,7356,8412,8437,8717,8819,10177
397	454,569,1426,1637,1668,1680,1777,2011,2207,2561,2595,2864,2895,3318,3341,3868,4137,4224,4413,4639,4660,4683,4960,5141,5625,5684,5854,6487,6678,6682,6867,6909,7450,7611,7666,7668,7670,7674,7676,7677,7678,7687,7766,7865,8122,8422,9174,9188
398	1983,3231,6142,6893,6894,6895,7750
399	1254,4308,5235,6676,6684,6692,6823,6910,8916,9082,9449
400	6923
401	73,3506,4411,6939,6940
402	1265,1793,4690,6944,6945,7511,9663
403	385,463,666,757,1182,1259,1669,1798,2100,2239,2400,2405,2439,2497,2984,3614,3735,3761,4071,4109,4314,4632,4839,4975,5369,5611,5939,6627,6690,6946,6950,6951,6952,7390,7394,7414,7502,8348,8615,8847,9005,9313,9686,10012,10181,10237
404	128,762,2278,2581,2755,3082,3722,3991,3999,4445,4640,6698,6963,6964,6965,9078,9748
405	1787
406	2266,5477,5572,6138,6975,6976,9500
407	6977
408	71,289,2465,3287,3878,4134,4212,5157,5401,5568,5702,7000,7003,7004,7005,9129,9835
409	1636,4518,5791,7040,7041,7947,8080
410	147,986,987,1666,1863,2259,2467,2641,3146,3799,4461,5110,5301,5303,5338,5524,5728,5847,6391,6480,6764,7049,7275,7838,7867,8146,8651,9779,9787,9989,10160
411	1412,2254,4739,9284,10103
412	7072
413	10039
414	667,1305,1816,1858,1955,2911,3051,3638,4315,4991,5608,5810,5866,6791,6959,7113,7114,7115,7167,7425,7746,8443,8493,9216,9287,9419,9420,9421
415	1467,1504,1800,1801,2065,2174,2218,2219,3457,3684,3888,4716,4929,5270,5318,5767,5838,5849,5862,5867,6072,6700,7122,7123,7124,7125,7711,7976,8009,8487,8546,8547,8562,8647,9362,9482,9483,9497,10079
416	715,4006
417	971,1781,2577,2793,2855,5535,6520,6523,7684,7717,7718,7923,8583,8742,9425
418	7169
419	7208
420	7211
421	4647,8371
422	5683,5743
423	7219
424	1135,1699,1911,2750,2768,3487,3605,4574,4853,5891,6209,7926,8443,9424,9428
425	1560,2728,2768,2771,3598,3604,3997,4295,5445,7250,8413,8416,8941
426	1644
427	3736,7245,7247
428	224,345,346,2486,3079,3208,3893,5487,7144,7256,9160,9492,9629,9736
429	7262,8376
430	517,6890,7266,8560
431	4330,9863
432	8434
433	193,277,551,753,2086,2311,2422,2887,3333,3405,3427,3655,3870,4325,4707,4798,4933,5181,5182,5183,5347,5731,6176,6972,7017,7136,7282,7283,7285,7461,8007,8010,8084,8263,8267,8474,9537,9602,9917
434	4222,4223,7034,7612,8880
435	318,767,851,1223,1225,1238,1814,3678,4482,4554,5428,6085,6125,6607,6717,7209,7255,7299,7353,7783,8194,8321,8653,8848,8849,9523,9617,9873,9904,10027,10168
436	80,1669,2106,3413,5875,5972,6922,7278,7311,7312,9181,9354,9466
437	7259
438	755,3385,4409,6136,6272,7448,7450
439	66,73,2048,2049,2050,2051,2052,2719,3202,3505,4803,6007,6350,7129,7472,7591,7743,7764,8904,9705,9743,9954,10041
440	305,307,308,309,740,805,1433,1461,1499,1597,1653,2121,2191,2192,2193,2289,2314,2477,3011,3012,3013,3014,3194,3365,3691,4021,4448,4558,5370,5418,5419,6279,7108,7474,7475,7476,7942,7943,8856,9083,9441,9581,9625,10094
441	7489
442	2060,2166,2167,2456,6019,6027,6028,7272,7478,7643,7927,8461,8533,9668
443	7415
444	566,1794,5027,5030,5889,7498,9090,9191,9246,9249
445	457,935,4392,5229,7526,7527,7528,7985,9038,9039,9040,9683,10019
446	923,1030,1044,1170,1955,2102,2216,2934,3328,3329,3450,4666,5051,5611,5835,6067,6159,6241,6539,6875,7045,7534,7536,7538,7901,8321,8360,8361,8362,8364,8366,8367,8681,8753,8954,9325,9390
447	747,1819,1859,1953,2040,2125,3305,3750,4648,4762,4797,5472,5849,5911,6045,6058,6179,6796,7539,7540,7541,7957,8508
448	125,318,914,970,4023,4461,5223,5524,7044,7542,7543,7544,7745,9309,9781
449	133,1396,1868,2018,3034,3063,3907,3987,4532,4538,4814,5851,6528,6810,7552,7556,7911,8117,8118,8161,8320,8858,8988
450	2601
451	3467,4461,4466,4697,5223,6130,6234,7559,7560,8452,9152,9781
452	3718
453	871,962,996,1010,1054,1509,1704,2163,2571,2716,2732,2837,3007,3360,3961,3984,4493,4850,5294,5616,6011,6193,6309,7333,7601,7602,7603,7941,7992,7997,9260,9641,10066,10255
454	58,624,625,1298,1637,2024,2075,2298,3684,3732,4068,4530,4551,5099,5223,5448,5569,5612,5748,6026,6295,6582,6588,7109,7634,7635,7636,7638,8369,8664,8665,8747,8860,9492,9781,9843,9846,10079
455	1219,3098,3451,4431,5027,5938,6299,6763,7163,7637,7642,8435,9596
456	2603,6178
457	9928
458	2225,7686,7741
459	1301,3890,7014,7690,7691,7692,7693,9922
460	131,1300
461	7724
462	72,123,141,193,232,340,341,342,358,524,526,534,883,1313,1500,1501,1527,1603,1726,1939,1967,2710,2886,2920,3207,3281,3337,3448,3748,3870,3908,4068,4089,4391,4461,4529,4590,4673,4887,4926,5189,5319,5340,5524,5538,5705,5742,5795,6236,6312,6497,6767,6876,7065,7140,7274,7323,7429,7454,7519,7567,7725,7726,7727,7729,7731,7732,7738,7739,7882,7949,8426,8719,8763,8852,8864,8865,8897,8919,9215,9358,9386,9492,9580,9781,9833,10011,10134
463	455,1082,1905,3679,5656,7024,7062,7784,7799,7800,7801,7802,7803,7804,7933,8416,8637,8915,9351,9492,9589,9903,9962
464	7808
465	3043,4579,5083,5652,6125,7103,7473,7613,7819,9034,9035,9385,9720
466	7502
467	977,2882,2897,2915,2916,3438,6135,6306,7310,7605,7883,8156,8253,9057,9988
468	132,744,1006,1063,1545,2123,2144,2162,2419,3048,3143,3145,3472,3478,3498,4014,4288,4664,5558,6658,6736,6803,7386,7748,7890,8466,8803,9146,9541,9769,10016,10078,10133
469	4503,4757,8372
470	1691
471	215,369,370,571,600,738,745,830,892,1089,1247,1293,1304,1306,1339,1341,1411,1465,1632,1679,1683,1779,1942,2173,2228,2276,2344,2444,2586,2614,2720,2758,2817,2828,2942,3010,3066,3117,3251,3367,3414,3470,3583,3688,3775,3779,3786,3855,3923,3924,4015,4019,4026,4114,4140,4218,4294,4461,4514,4523,4524,4530,4542,4550,4567,4580,4836,5028,5111,5160,5168,5481,5560,5705,5745,5747,5793,5954,6160,6192,6340,6341,6342,6343,6344,6345,6395,6409,6473,6557,6565,6571,6623,6624,6956,7048,7055,7127,7143,7288,7316,7565,7665,7672,7681,7765,7781,7855,7954,7955,7956,7990,7994,8251,8266,8511,8512,8522,8670,8672,8730,8833,8926,8939,8942,8993,9024,9116,9118,9128,9361,9377,9467,9478,9682,9781,9842,9906,9907,9984,10017,10018,10117,10129,10138,10179
472	223,225,572,751,752,1020,1038,1039,1186,1475,1637,2138,2547,2772,2789,2798,3037,3294,3337,3464,3845,3986,4476,4526,4893,4913,4961,5075,5223,5316,5421,5855,5994,6054,6059,6118,6145,6146,6153,6220,6338,6402,6525,6664,6831,7843,7984,8012,8207,8393,9230,9388,9644,9781,9787,9831
473	7101
474	1284,1286,1291
475	4045,8479
476	278,388,492,549,550,562,584,721,769,867,957,1009,1065,1267,1417,1506,1585,1644,1750,1944,1980,1994,2208,2283,2352,2357,2549,2594,2899,3069,3475,3619,3654,3777,3852,4098,4209,4234,4298,4309,4642,4704,4761,5019,5223,5501,5603,5726,5744,5963,6147,6269,6522,6540,6559,6771,6774,6896,6936,7031,7363,7460,7626,7652,7684,7814,7843,8017,8018,8019,8068,8351,8418,8518,9408,9562,9760,10079,10169,10245
477	234,238,847,848,2762,2763,4569,6121,6122,7032,7033,7100,7300,7301,7826,7827,8701
478	557,582,1117,1603,3484,3943,8020,8663,9186,9951
479	907,1840,2008,5036,5628,8021,8022,8404,9296,9661,9662
