city	schoolName
10	677,4571
11	333,6074,6075,6076
12	360,361,1394,2485,6324
13	379,380,718,768,1137,1388,1389,1398,1610,1622,2150,2240,2251,2534,2551,2695,2792,2986,3299,3459,3532,3580,3593,3763,3823,3980,4278,4454,4643,4662,4687,4751,5217,5282,5283,5349,5438,5520,5539,5591,5722,5797,6469,6519,6717,6781,6786,6790,6794,6942,7221,7286,7336,7588,7684,7771,7839,7896,7934,8252,8574,8784,8880,8956,9347,9744,9902,9917,10163
14	393,394,395,396,3828,3829,5871,6533
15	1283
16	1092,1551,1552,5705
17	6903,6904
18	458,460,760,1586,1831,2222,3589,5831,6501,6610
19	468,469,470,471,472,865,934,981,1101,1456,2241,2317,2416,2533,2636,3337,3684,4387,4760,5273,5333,5721,6045,6274,7012,7357,8937,9323
20	2394,3678,8959
21	490,2369,7667,8193,8648,9349
22	503,504,714,1347,3166,3223,4072,4131,4228,5941,5942,6850,7093,7485,7618
23	505,506,507,1901,3372,5074,6542,6543,6544,6888,6905,7548,8484,8485,8886,9276,9380
24	675,3921
25	553,3854,5346,5930,6679,7084
26	1195,4643,4718,6445,6843,7897
27	637,638,3158,6155,6967,8015,8064,8217,8830,9033
28	5034,5069,8302
29	158,643,644,853,854,2865,4777,5008,6070,6071,7099,8349,8656,9153,9455
30	317,1051,3028,5494,7172,7223,7225,8499
31	671
32	673,674,7561,7562,7563,7564,8905,9004
33	686,1587,1689,1867,3211,3543,3981,5337,5538,6236,7002,8502,9499,9574,9707
34	700
35	287,362,377,645,661,702,898,918,919,955,1182,1464,1505,1577,1579,1637,1687,1771,1777,1931,1943,1955,1984,2005,2206,2350,2443,2479,2510,2528,2538,2544,2615,2631,2887,2923,3088,3297,3305,3317,3330,3337,3362,3369,3618,3680,3723,3725,3848,3983,4068,4071,4198,4201,4286,4287,4461,4743,4744,4745,4746,5076,5150,5152,5155,5191,5340,5443,5845,5849,6025,6311,6494,6495,6506,6594,6704,6768,6978,7069,7080,7229,7230,7392,7419,7421,7647,7782,7834,7843,7874,7875,7916,8095,8165,8454,8477,8571,8713,8750,8774,8777,8778,8794,9092,9183,9440,9479,9480,9568,9621,9637,9658,9693,9701,9751,9787,9806,9807,9855,9996,10025,10036,10252
36	713,1597,1681,1682,2297,2875,2958,3258,4473,4717,5643,6521,6714,7255,8194,8445,8448,8680,9253,9621,9734
37	720
38	733,734,735,736,1597,3187,3976,4118,6010,6390,6443,7578,7730,8925,10208
39	763,764,766,1228,1599
40	2376,8403
41	4397
42	794,5420,6088
43	5333
44	17,439,815,818,3565,4066,6241,6941,8069,8876,9171
45	842
46	856,2962,3285,5029,7450,8541,9146,9781
47	1435,1597,1803,3268,6367,7440
48	7775
49	368,893,894,895,896,897,1753,2056,2126,2679,2886,3310,4189,4461,4569,4769,5112,5339,5575,5746,6864,7522,7523,7856,8270,9093,9099,9100,9111,9169,9228,9383,9719,9781,9992
50	4429
51	932,933,2797,3908,6187
52	947
53	712,938,1723
54	937,939,6526
55	940
56	949,950,951
57	943,944,974,975,4164,4481
58	1003
59	3127,7940
60	1017
61	8895
62	1037,9841
63	6672
64	750,1075,2403,4379,5975,6313,7135,7570
65	547,1076,1077,1078,1079,1774,3949,5069,5694,6161,6709,8652,10002
66	122,1086,2708,3433,4010,4287,4381,4909,5187,5191,5196,5316,5720,5765,6705,7203,7413,7831,9997
67	884
68	4602,6628
69	576,1177,1178,1179,1427,1685,3561,3641,4121,4183,4405,5505,7515,7899,8114
70	14,703,1089,1196,1200,1204,1205,1219,2278,3507,4123,4124,4192,4402,4489,4572,5482,5542,6150,7359,7410,7436,9130,9143,9146,9745,10020
