district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Central Union Elementary,Akers Elementary,Constellation Avenue N.A.S. Lemoore CA 93245-0001,NA,NA,NA,not tested,Lemoore,Kings County,36.263877,-119.875215
Armona Union Elementary,Armona Elementary,14045 Pimo Street Armona CA 93202-0368,7.95,ppb,TRUE,tested,NA,Kings County,36.312564,-119.710417
Reef-Sunset Unified,Avenal Elementary,500 South First Avenue Avenal CA 93204-1501,NA,NA,FALSE,tested,Avenal,Kings County,36.003548,-120.138292
Reef-Sunset Unified,Avenal High,601 Mariposa Street Avenal CA 93204-1413,9.6,ppb,TRUE,tested,Avenal,Kings County,36.009474,-120.129994
Corcoran Joint Unified,Bret Harte Elementary,1300 Letts Avenue Corcoran CA 93212-2523,5.6,ppb,TRUE,tested,NA,Kings County,36.094578,-119.567686
Lemoore Union Elementary,Bridges Academy,1200 West Cinnamon Drive Lemoore CA 93245-9420,NA,NA,FALSE,tested,NA,Kings County,36.307014,-119.784436
Central Union Elementary,Central Elementary,15783 18th Avenue Lemoore CA 93245-9742,NA,NA,NA,not tested,NA,Kings County,36.334436,-119.780771
Lemoore Union Elementary,Cinnamon Elementary,500 East Cinnamon Drive Lemoore CA 93245-2988,NA,NA,FALSE,tested,NA,Kings County,36.307126,-119.775514
Corcoran Joint Unified,Corcoran High,1100 Letts Avenue Corcoran CA 93212-2520,11,ppb,TRUE,tested,NA,Kings County,36.097472,-119.567653
Armona Union Elementary,Crossroads Charter,418 West 8th Street Hanford CA 93230-4536,NA,NA,FALSE,tested,Hanford,Kings County,36.326919,-119.65145
Hanford Joint Union High,Earl F. Johnson High (Continuation),1201 North Douty Hanford CA 93230-2156,89,ppb,TRUE,tested,Hanford,Kings County,36.338061,-119.645928
Pioneer Union Elementary,Frontier Elementary,1854 North Mustang Drive Hanford CA 93230-9811,26,ppb,TRUE,tested,Hanford,Kings County,36.345017,-119.687946
Hanford Elementary,George Washington Elementary,2245 North Fairmont Hanford CA 93232-1448,10.9,ppb,TRUE,tested,Hanford,Kings County,36.352862,-119.638
Hanford Elementary,Hamilton Elementary,1269 Leland Way Hanford CA 93230,5.75,ppb,TRUE,tested,Hanford,Kings County,36.349221,-119.625438
Hanford Joint Union High,Hanford Adult,905 Campus Drive Hanford CA 93230,10,ppb,TRUE,tested,Hanford,Kings County,36.333846,-119.663173
Hanford Joint Union High,Hanford Community Day,120 East Grangeville Boulevard Hanford CA 93230-3067,NA,NA,FALSE,tested,Hanford,Kings County,36.342708,-119.644791
Hanford Elementary,Hanford Elementary Community Day,601 West Florinda St Hanford CA 93230-3628,NA,NA,NA,not tested,Hanford,Kings County,36.334771,-119.654412
Hanford Elementary,Hanford Elementary School District Service Facility Kitchen,924 Katie Hammond Lane Hanford CA 93239,NA,NA,FALSE,tested,Hanford,Kings County,36.338125,-119.631702
Hanford Joint Union High,Hanford High,120 East Grangeville Boulevard Hanford CA 93230-3067,NA,NA,NA,not tested,Hanford,Kings County,36.342708,-119.644791
Hanford Joint Union High,Hanford Night (Continuation),1201 North Douty rd Hanford CA 93230-3067,NA,NA,NA,not tested,Hanford,Kings County,36.337563,-119.645653
