district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Kings Canyon Joint Unified,A. L. Conner Elementary,222 Fourth Street Orange Cove CA 93646-2111,,,False,tested,Orange Cove,Fresno County,36.62972,-119.307957,
Selma Unified,Abraham Lincoln Middle,1239 Nelson Boulevard Selma CA 93662-4112,,,False,tested,Selma,Fresno County,36.583853000000005,-119.600501,
Fresno Unified,Addams Elementary,2117 West McKinley Avenue Fresno CA 93728-1125,,,False,tested,Fresno,Fresno County,36.764592,-119.835802,
Fresno Unified,Ahwahnee Middle,1127 East Escalon Avenue Fresno CA 93710-5510,10.9,ppb,True,tested,Fresno,Fresno County,36.826728,-119.768226,13.0
Fresno Unified,Akira Yokomi Elementary,2323 East McKenzie Fresno CA 93701-2221,,,False,tested,Fresno,Fresno County,36.74743,-119.783226,
Clovis Unified,Alta Sierra Intermediate,380 West Teague Avenue Clovis CA 93611-8332,,,False,tested,Clovis,Fresno County,36.859916999999996,-119.718405,
Alvina Elementary,Alvina Elementary Charter,295 West Saginaw Avenue Caruthers CA 93609-9710,,,,not tested,,Fresno County,36.554148,-119.880976,
Selma Unified,Andrew Jackson Elementary,2220 Huntsman Avenue Selma CA 93662-2422,,,False,tested,Selma,Fresno County,36.583553,-119.61428000000001,
Fresno Unified,Ann B. Leavenworth,4420 East Thomas Avenue Fresno CA 93702-1441,,,,not tested,Fresno,Fresno County,36.753107,-119.75161999999999,
Coalinga-Huron Unified,Annie E. Cheney Kindergarten,149 Adams Street Coalinga CA 93210-2927,6.9,ppb,True,tested,Coalinga,Fresno County,36.142329,-120.36482,6.9
Private,Armenian Community School,108 North Villa Avenue Clovis CA 93612,,,False,tested,Clovis,Fresno County,36.832326,-119.713622,
Firebaugh-Las Deltas Unified,Arthur E. Mills Intermediate,1191 P Street Firebaugh CA 93622-2230,9.6,ppb,True,tested,,Fresno County,36.8595,-120.455155,9.6
Fresno Unified,Aspen Valley Prep Academy,4221 N. Hughes Avenue Fresno CA 93705,,,False,tested,Fresno,Fresno County,36.794363,-119.835449,
Fresno Unified,Ayer Elementary,5272 East Lowe Avenue Fresno CA 93727-5216,,,False,tested,Fresno,Fresno County,36.731301,-119.717127,
