district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Belleview Elementary,Belleview Elementary,22736 Kuien Mill Road Sonora CA 95370-8331,NA,NA,FALSE,tested,Sonora,Tuolumne County,38.034987,-120.271604
Calaveras County Office of Education,Calaveras County Office of Education Mountain Oaks Satellite Cammpus,518 South Washington St Sonora CA 95370,NA,NA,FALSE,tested,Sonora,Tuolumne County,37.978184,-120.381026
Columbia Union,Columbia Elementary,22540 Parrotts Ferry Road Columbia CA 95310-9757,5.4,ppb,TRUE,tested,NA,Tuolumne County,38.038544,-120.404493
Summerville Union High,Connections Visual and Performing Arts Academy,17555 Tuolumne Road Tuolumne CA 95379-9701,NA,NA,NA,not tested,NA,Tuolumne County,37.961428,-120.255301
Sonora Union High,Dario Cassina High,251-South A Baretta Street Sonora CA 95370-5042,NA,NA,NA,not tested,Sonora,Tuolumne County,37.98295,-120.382172
Big Oak Flat-Groveland Unified,Don Pedro High,3090 Merced Falls Road La Grange CA 95329-1397,NA,NA,NA,not tested,La Grange,Tuolumne County,37.681076,-120.324146
Tuolumne County Superintendent of Schools,Foothill Leadership Academy,19401 Susan Way Sonora CA 95370-9266,NA,NA,NA,not tested,Sonora,Tuolumne County,37.974785,-120.321613
Summerville Union High,Gold Rush Charter,16331 Hidden Valley Road Sonora CA 95370-9228,NA,NA,NA,not tested,NA,Tuolumne County,38.009825,-120.282966
Jamestown Elementary,Jamestown Elementary,18299 Fifth Avenue Jamestown CA 95327-9671,NA,NA,FALSE,tested,Jamestown,Tuolumne County,37.954028,-120.417197
Summerville Union High,Long Barn High,25910 Long Barn Road Long Barn CA 95335,NA,NA,FALSE,tested,NA,Tuolumne County,38.092248,-120.134275
Private,Mother Lode Christian School,18393 Gardner Avenue Tuolumne CA 95379,NA,NA,FALSE,tested,NA,Tuolumne County,37.964186,-120.237588
Summerville Union High,Mountain High,2 Pinecrest School Road Pinecrest CA 95364,NA,NA,NA,not tested,NA,Tuolumne County,38.184157,-120.005543
Sonora Elementary,Sonora Elementary,830 Greenley Road Sonora CA 95370-5203,NA,NA,NA,not tested,Sonora,Tuolumne County,37.980278,-120.37006
Sonora Union High,Sonora High,430 North Washington Street Sonora CA 95370-5526,NA,NA,NA,not tested,Sonora,Tuolumne County,37.991386,-120.38652
Soulsbyville Elementary,Soulsbyville Elementary,20300 Soulsbyville Road Soulsbyville CA 95372-9792,NA,NA,FALSE,tested,NA,Tuolumne County,37.990132,-120.264879
Sonora Elementary,Spring Field Community Day,22540 Parrotts Ferry Rd Columbia CA 95310-9757,NA,NA,NA,not tested,NA,Tuolumne County,38.038544,-120.404493
Summerville Elementary,Summerville Elementary,18451 Carter Street Tuolumne CA 95379-9715,6.5,ppb,TRUE,tested,NA,Tuolumne County,37.958063,-120.236151
Summerville Union High,Summerville High,17555 Tuolumne Rd. Tuolumne CA 95379-9701,NA,NA,FALSE,tested,NA,Tuolumne County,37.961428,-120.255301
Big Oak Flat-Groveland Unified,Tenaya Elementary,19177 Highwy 120 Groveland CA 95321-1397,NA,NA,FALSE,tested,Groveland,Tuolumne County,37.834815,-120.22105
Sonora Union High,Theodore Bird High,251-A South Baretta Street Sonora CA 95370-5042,NA,NA,NA,not tested,Sonora,Tuolumne County,37.981383,-120.379647
Big Oak Flat-Groveland Unified,Tioga High,19304 Ferretti Road Groveland CA 95321-9338,NA,NA,FALSE,tested,NA,Tuolumne County,37.865361,-120.223862
Tuolumne County Superintendent of Schools,Tuolumne County Cal-SAFE Program,21125 School Road Sonora CA 95370-4859,NA,NA,NA,not tested,Sonora,Tuolumne County,37.989272,-120.385666
Tuolumne County Superintendent of Schools,Tuolumne County Community/ISP,175 South Fairview Ln. Sonora CA 95370-4809,NA,NA,NA,not tested,Sonora,Tuolumne County,37.979468,-120.391968
Tuolumne County Superintendent of Schools,Tuolumne County Special Education,175 South Fairview Lane B Sonora CA 95370-4809,NA,NA,FALSE,tested,Sonora,Tuolumne County,37.978794,-120.390799
Tuolomne County Superintendent of Schools,Tuolumne County Superintendent of Schools Transitional Program Building,13895 Mono Way #B Sonora CA 95370,NA,NA,FALSE,tested,NA,Tuolumne County,37.978085,-120.340081
Sonora Elementary,Tuolumne Learning Center (TLC),610 South Washington St Sonora CA 95370,NA,NA,FALSE,tested,Sonora,Tuolumne County,37.976753,-120.380459
Twain Harte,Twain Harte,18815 Manzanita Drive Twain Harte CA 95383-9515,NA,NA,FALSE,tested,NA,Tuolumne County,38.040063,-120.227732
