district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Mariposa County Unified,Lake Don Pedro Elementary,2411 Hildago La Grange CA 95329,,,,not tested,La Grange,Mariposa County,37.672315000000005,-120.35768799999998,
Mariposa County Unified,Mariposa County High,5074 Old Highway Mariposa CA 95338-0127,,,False,tested,,Mariposa County,37.459455,-119.956572,
Mariposa County Unified,Mariposa Elementary,5044 Jones Street Mariposa CA 95338-5002,,,False,tested,,Mariposa County,37.487159999999996,-119.96433999999999,
Mariposa County Office of Education,Monarch Academy,5082 Old Highway North Mariposa CA 95338,,,False,tested,,Mariposa County,37.490439,-119.966173,
Private,Victory Baptist Christian School,5005 Frank Wilson Road Mariposa CA 95338,5.7,ppb,True,tested,Mariposa,Mariposa County,37.503840999999994,-119.98391000000001,5.7
