district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Pierce Joint Unified,Arbuckle Elementary,701 Hall Street Arbuckle CA 95912-0100,,,False,tested,,Colusa County,39.016231,-122.060704,
Colusa Unified,Colusa Alternative High (Continuation),901 Colus Avenue Colusa CA 95932-3024,,,,not tested,Colusa,Colusa County,39.200812,-122.02068,
Colusa Unified,Colusa Alternative Home,745 10th Street Colusa CA 95932-2220,11.9,ppb,True,tested,Colusa,Colusa County,39.210848999999996,-122.016478,11.9
Colusa Unified,Colusa High,901 Colus Avenue Colusa CA 95932-3024,,,False,tested,Colusa,Colusa County,39.200812,-122.02068,
Colusa Unified,George T. Egling Middle,813 Webster Street Colusa CA 95932-2355,,,False,tested,Colusa,Colusa County,39.210533,-122.01434099999999,
Pierce Joint Unified,Grand Island Elementary,551 Leven Street Grimes CA 95950-0030,7.8,ppb,True,tested,Grimes,Colusa County,39.070056,-121.89643799999999,7.8
Stony Creek Joint Unified,Indian Valley Elementary,5180 Lodoga Stonyford Road Stonyford CA 95979,,,,not tested,,Colusa County,39.380669,-122.55100700000001,
Colusa Unified,James M. Burchfield Primary,400 Fremont Street Colusa CA 95932-2630,,,False,tested,Colusa,Colusa County,39.207559,-122.009111,
Pierce Joint Unified,Lloyd G. Johnson Junior High,938 Wildwood Road Arbuckle CA 95912-9714,,,False,tested,,Colusa County,39.011793,-122.056001,
Maxwell Unified,Maxwell Elementary,146 North St. Maxwell CA 95955-0788,,,False,tested,,Colusa County,39.280217,-122.19572600000001,
Maxwell Unified,Maxwell Middle,146 North Street Maxwell CA 95955-0788,,,False,tested,,Colusa County,39.280217,-122.19572600000001,
Maxwell Unified,Maxwell Sr High,515 Oak Street Maxwell CA 95955-0788,,,False,tested,,Colusa County,39.276269,-122.194849,
Pierce Joint Unified,Pierce High,960 Wildwood Road Arbuckle CA 95912-9714,,,False,tested,,Colusa County,39.012004,-122.05601499999999,
Princeton Joint Unified,Princeton Elementary,428 Norman Road Princeton CA 95970-0008,,,False,tested,,Colusa County,39.406422,-122.01211,
Princeton Joint Unified,Princeton Junior-Senior High,473 State Street Princeton CA 95970-0008,,,False,tested,,Colusa County,39.401555,-122.011468,
Williams Unified,Williams Junior/Senior High,222 11th Street Williams CA 95987,,,,not tested,Williams,Colusa County,39.156645000000005,-122.156058,
Williams Unified,Williams Primary Elementary,1404 E Street Williams CA 95987-0007,,,,not tested,Williams,Colusa County,39.152549,-122.15708300000001,
Williams Unified,Williams Upper Elementary,300 Eleventh Street Williams CA 95987,,,False,tested,Williams,Colusa County,39.154569,-122.157137,
