district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Napa Valley Unified,Alta Heights Elementary,15 Montecito Boulevard Napa CA 94559-2122,8.6,ppb,TRUE,tested,Napa,Napa County,38.301503,-122.270468
Napa Valley Unified,American Canyon High,3000 Newell Drive American Canyon CA 94503-1279,NA,NA,FALSE,tested,American Canyon,Napa County,38.173897,-122.242678
Napa Valley Unified,American Canyon Middle,300 Benton Way American Canyon CA 94589-4254,NA,NA,FALSE,tested,American Canyon,Napa County,38.169874,-122.267233
Napa Valley Unified,Bel Aire Park Elementary,3580 Beckworth Drive Napa CA 94558-2846,NA,NA,FALSE,tested,Napa,Napa County,38.326807,-122.306732
Napa Valley Unified,Browns Valley Elementary,1001 Buhman Avenue Napa CA 94558-5202,NA,NA,FALSE,tested,Napa,Napa County,38.304821,-122.340499
Calistoga Joint Unified,Calistoga Elementary,1327 Berry Street Calistoga CA 94515-1605,NA,NA,FALSE,tested,Calistoga,Napa County,38.579344,-122.583487
Calistoga Joint Unified,Calistoga Junior-Senior High,1608 Lake Street Calistoga CA 94515-1359,NA,NA,FALSE,tested,Calistoga,Napa County,38.583372,-122.579924
Napa Valley Unified,Canyon Oaks Elementary,475 Silver Oak Trail American Canyon CA 94503-3190,NA,NA,FALSE,tested,American Canyon,Napa County,38.168339,-122.244565
Napa Valley Unified,Donaldson Way Elementary,430 Donaldson Way American Canyon CA 94589-1130,NA,NA,FALSE,tested,American Canyon,Napa County,38.172532,-122.263355
Napa Valley Unified,El Centro Elementary,1480 El Centro Avenue Napa CA 94558-1945,NA,NA,FALSE,tested,Napa,Napa County,38.336615,-122.312322
Private,Foothills Adventist Elementary,711 Sunnyside Road St. Helena CA 94574,13,ppb,TRUE,tested,St Helena,Napa County,38.537816,-122.468175
Napa Valley Unified,Harvest Middle,2449 Old Sonoma Road Napa CA 94558-6006,NA,NA,FALSE,tested,Napa,Napa County,38.287688,-122.303287
