district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Earlimart Elementary,Alila,850 West Washington Avenue Earlimart CA 93219,,,,not tested,,Tulare County,35.883584,-119.27615300000001,
Allensworth Elementary,Allensworth Elementary,3320 Young Road Allensworth CA 93219-9709,,,False,tested,,Tulare County,35.863385,-119.39249699999999,
Alpaugh Unified,Alpaugh Elementary,5313 Rd 39 Alpaugh CA 93201-0009,,,False,tested,Alpaugh,Tulare County,35.887343,-119.48635700000001,
Alpaugh Unified,Alpaugh Junior-Senior High,5313 Road 39 Alpaugh CA 93201-0009,,,,not tested,Alpaugh,Tulare County,35.887343,-119.48635700000001,
Tulare City,Alpine Vista,2975 East Alpine Avenue Tulare CA 93274-4265,,,False,tested,,Tulare County,36.20214,-119.321055,
Alta Vista Elementary,Alta Vista Elementary,2293 East Crabtree Avenue Porterville CA 93257-5225,,,False,tested,Porterville,Tulare County,36.058528,-118.966169,
Exeter Unified,Alternative Education,1107 E Rocky Hill Dr Exeter CA 93221,,,,not tested,Exeter,Tulare County,36.297049,-119.130822,
Visalia Unified,Annie R. Mitchell,2121 East Laura Avenue Visalia CA 93292-1407,,,False,tested,Visalia,Tulare County,36.310094,-119.268252,
Porterville Unified,Bartlett Middle,335 North G Street Porterville CA 93257-3471,7.6,ppb,True,tested,Porterville,Tulare County,36.071971000000005,-119.02261999999999,10.0
Porterville Unified,Belleview Elementary,197 West Belleview Avenue Porterville CA 93257-2256,,,False,tested,Porterville,Tulare County,36.073946,-119.02091399999999,
Woodlake Unified,Bravo Lake High,450 West Sequoia Woodlake CA 93286-1240,,,False,tested,Woodlake,Tulare County,36.422321999999994,-119.09365700000001,
Burton Elementary,Burton Elementary,2375 West Morton Street Porterville CA 93257-2557,,,False,tested,Porterville,Tulare County,36.072343,-119.068666,
Burton Elementary,Burton Middle,1155 North Elderwood Street Porterville CA 93257-9089,5.6,ppb,True,tested,Porterville,Tulare County,36.085283000000004,-119.076495,5.6
Porterville Unified,Butterfield Charter High,900 West Pioneer Avenue Porterville CA 93257-1240,,,False,tested,Porterville,Tulare County,36.092205,-119.03769199999999,
Lindsay Unified,Cairns High School,533 E Honolulu Lindsay CA 93247,,,,not tested,Lindsay,Tulare County,36.203899,-119.08470600000001,
Terra Bella Union Elementary,Carl Smith Middle,23825 Avenue 92 Terra Bella CA 93270-9400,,,,not tested,,Tulare County,35.954219,-119.039092,
Woodlake Unified,Castle Rock Elementary,360 North Castle Rock Street Woodlake CA 93286-1250,,,False,tested,Woodlake,Tulare County,36.418496000000005,-119.089767,
Visalia Unified,Charter Home School Academy,211 West Tulare Avenue Visalia CA 93277-4813,,,False,tested,Visalia,Tulare County,36.320042,-119.294201,
Tulare City,Cherry Avenue Middle,540 North Cherry Street Tulare CA 93274-2918,,,False,tested,,Tulare County,36.215517,-119.336171,
Porterville Unified,Citrus High,261 East Mulberry Avenue Porterville CA 93257-4822,7.2,ppb,True,tested,Porterville,Tulare County,36.082848,-119.011503,8.5
Columbine Elementary,Columbine Elementary,2240 Road 160 Delano CA 93215-9420,,,,not tested,Delano,Tulare County,35.830602,-119.213361,
Visalia Unified,Conyer Elementary,814 South Sowell Visalia CA 93277-2467,,,False,tested,Visalia,Tulare County,36.323001,-119.302346,
Visalia Unified,Cottonwood Creek Elementary,4222 South Dans Street Visalia CA 93277-7964,,,False,tested,Visalia,Tulare County,36.292593,-119.324794,
Tulare Joint Union High,Countryside Community Day,1084 South Pratt Street Tulare CA 93274-6303,,,False,tested,,Tulare County,36.189192999999996,-119.357759,
Stone Corral Elementary,Crescent Valley Public Charter,"309 West Main Street, Suite 110 Visalia CA 93291-6257",,,,not tested,Visalia,Tulare County,36.329851,-119.29499399999999,
Visalia Unified,Crestwood Elementary,3001 West Whitendale Avenue Visalia CA 93277-6077,,,False,tested,Visalia,Tulare County,36.303336,-119.32383999999999,
Visalia Unified,Crowley Elementary,214 East Ferguson Street Visalia CA 93291-2006,,,False,tested,Visalia,Tulare County,36.350231,-119.290705,
Cutler-Orosi Joint Unified,Cutler Elementary,40532 Road 128 Cutler CA 93615-2109,,,,not tested,,Tulare County,36.525553,-119.28451100000001,
Cutler-Orosi Joint Unified,Cutler-Orosi Community Day,14198 Avenue 384 Yettem CA 93670,,,,not tested,,Tulare County,36.486996000000005,-119.25461000000001,
Tulare City,Cypress Elementary,1870 South Laspina Street Tulare CA 93274-6962,,,False,tested,,Tulare County,36.187788,-119.32379499999999,
Farmersville Unified,Deep Creek Academy,281 South Farmersville Boulevard Farmersville CA 93223-1833,,,False,tested,Farmersville,Tulare County,36.297482,-119.207342,
Dinuba Unified,Dinuba High,340 East Kern Street Dinuba CA 93618-1825,,,False,tested,,Tulare County,36.539594,-119.384239,
