district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Poway Unified,Abraxas Continuation High,12450 Glenoak Road Poway CA 92064-3299,NA,NA,FALSE,tested,Poway,San Diego County,32.973739,-117.062148
Cardiff Elementary,Ada Harris Elementary,"1888 Montgomery Ave, Cardiff, CA 92007",NA,NA,NA,exempt,Encinitas,San Diego County,33.025072,-117.282308
Cardiff Elementary,Ada W. Harris Elementary,1508 Windsor Road Cardiff-by-the-Sea CA 92007-1356,NA,NA,NA,not tested,Encinitas,San Diego County,33.031428,-117.273995
San Diego Unified,Adams Elementary,4672 35th Street San Diego CA 92116-3536,NA,NA,FALSE,tested,San Diego,San Diego County,32.761807,-117.118439
Poway Unified,Adobe Bluffs Elementary,8707 Adobe Bluffs Drive San Diego CA 92129-4448,NA,NA,NA,not tested,San Diego,San Diego County,32.973184,-117.140377
Vista Unified,Alamosa Park Elementary,5130 Alamosa Park Drive Oceanside CA 92057-6301,NA,NA,FALSE,tested,Oceanside,San Diego County,33.239075,-117.282005
San Diego Unified,ALBA,4041 Oregon St San Diego CA 92104-1706,NA,NA,FALSE,tested,San Diego,San Diego County,32.751112,-117.135014
San Diego Unified,Alcott Elementary,4680 Hidalgo Avenue San Diego CA 92117-2503,NA,NA,FALSE,tested,San Diego,San Diego County,32.832911,-117.221565
Chula Vista Elementary,Allen (Ella B.) Elementary,4300 Allen School Road Bonita CA 91902-2309,6,ppb,TRUE,tested,Chula Vista,San Diego County,32.658951,-117.034477
Alpine Union Elementary,Alpine Elementary,1850 Alpine Boulevard Alpine CA 91901-3898,NA,NA,FALSE,tested,NA,San Diego County,32.837563,-116.774421
Sweetwater Union High,Alta Vista Academy,730 Medical Center Court Chula Vista CA 91911-6618,NA,NA,NA,not tested,Chula Vista,San Diego County,32.618192,-117.024892
Vista Unified,Alta Vista High (Continuation),1575 Bonair Drive Vista CA 92084-3572,NA,NA,FALSE,tested,Vista,San Diego County,33.222677,-117.219245
San Marcos Unified,Alvin M. Dunn Elementary,3697 La Mirada Drive San Marcos CA 92078-2312,NA,NA,NA,not tested,San Marcos,San Diego County,33.143938,-117.204279
San Diego Unified,America's Finest Charter,730 45th Street San Diego CA 92102-3619,NA,NA,FALSE,tested,San Diego,San Diego County,32.713184,-117.097944
San Diego Unified,Angier Elementary,8450 Hurlbut Street San Diego CA 92123-2013,10.2,ppb,TRUE,tested,San Diego,San Diego County,32.805969,-117.145306
Cajon Valley Union,Anza Elementary,1005 South Anza Street El Cajon CA 92020-8602,NA,NA,FALSE,tested,El Cajon,San Diego County,32.782212,-116.948111
San Diego Unified,Arroyo Paseo Charter High,3773 El Cajon Boulevard San Diego CA 92105,NA,NA,FALSE,tested,San Diego,San Diego County,32.75643,-117.089532
Chula Vista Elementary,Arroyo Vista Charter,2491 School House Road Chula Vista CA 91915-2534,NA,NA,NA,not tested,Chula Vista,San Diego County,32.638697,-116.953465
