district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Washington Unified,Adult Education,919 Westacre Road West Sacramento CA 95691-3224,,,False,tested,,Yolo County,38.578192,-121.530507,
Washington Unified,Alyce Norman Learning Center,1200 Anna Street West Sacramento CA 95605,,,,not tested,,Yolo County,38.596419,-121.531426,
Washington Unified,Alyce Norman Learning Center,1200 Anna Street  West Sacramento CA 95605,,,False,tested,West Sacramento,Yolo County,38.596198,-121.531679,
Woodland Joint Unified,Beamer Elementary,525 Beamer Street Woodland CA 95695-3209,,,False,tested,Woodland,Yolo County,38.68479,-121.77436100000001,
Davis Joint Unified,Birch Lane Elementary,1600 Birch Lane Davis CA 95616-1499,,,False,tested,,Yolo County,38.560831,-121.72776200000001,
Washington Unified,Bridgeway Island Elementary,3255 Half Moon Bay Circle West Sacramento CA 95691-5861,,,False,tested,West Sacramento,Yolo County,38.54118,-121.56743300000001,
Washington Unified,Bryte Career and College Training,637 Todhunter Avenue West Sacramento CA 95605,,,False,tested,,Yolo County,38.597426,-121.53416200000001,
Woodland Joint Unified,Cache Creek High (Continuation),145 Second Street Yolo CA 95697-0298,,,,not tested,Yolo,Yolo County,38.732011,-121.807573,
Yolo County Office of Education,Cesar Chavez Community School,255 West Beamer Street Woodland CA 95695-2510,,,False,tested,Woodland,Yolo County,38.684783,-121.795748,
Davis Joint Unified,Cesar Chavez Elementary,1221 Anderson Road Davis CA 95616-1899,,,False,tested,,Yolo County,38.554327,-121.75971000000001,
Davis Joint Unified,Da Vinci Charter Academy,1400 East Eighth St. Davis CA 95616-2404,,,False,tested,Davis,Yolo County,38.552823,-121.733354,
Davis Joint Unified,Davis School for Independent Study,526 B Street Davis CA 95616-3811,,,False,tested,,Yolo County,38.547115999999995,-121.745275,
Davis Joint Unified,Davis Senior High,315 West 14th St Davis CA 95616-1914,,,False,tested,,Yolo County,38.55583,-121.74901399999999,
Woodland Joint Unified,Dingle Elementary,625 Elm Street Woodland CA 95695-3921,6.3,ppb,True,tested,Woodland,Yolo County,38.673221999999996,-121.77620900000001,6.3
Woodland Joint Unified,Douglass Middle,525 Granada Drive Woodland CA 95695-4861,,,False,tested,Woodland,Yolo County,38.665848,-121.774478,
Washington Unified,Elkhorn Village Elementary,750 Cummins Way West Sacramento CA 95605-2511,,,False,tested,,Yolo County,38.594846000000004,-121.52112,
Esparto Unified,Esparto Elementary,17120 Omega Street Esparto CA 95627-0069,,,,not tested,,Yolo County,38.692667,-122.02338400000001,
Esparto Unified,Esparto High,17121 Yolo Avenue Esparto CA 95627-0069,,,,not tested,,Yolo County,38.690869,-122.01715800000001,
Esparto Unified,Esparto Middle,26058 Country Road 21A Esparto CA 95627,,,,not tested,Esparto,Yolo County,38.690166,-122.024825,
Washington Unified,Evergreen Elementary,919 Westacre Road West Sacramento CA 95691-3223,,,,not tested,,Yolo County,38.578192,-121.530507,
Davis Joint Unified,Frances Ellen Watkins Harper Junior High,4000 East Covell Boulevard Davis CA 95618-1565,,,False,tested,,Yolo County,38.564776,-121.702799,
Davis Joint Unified,Fred T. Korematsu Elementary School at Mace Ranch,3100 Loyola Drive Davis CA 95616-1605,,,False,tested,,Yolo County,38.557689,-121.722725,
Woodland Joint Unified,Freeman Elementary,126 North West Street Woodland CA 95695-2614,,,False,tested,Woodland,Yolo County,38.686862,-121.783782,
Woodland Joint Unified,Gibson Elementary,312 Gibson Road Woodland CA 95695-4765,,,False,tested,Woodland,Yolo County,38.662862,-121.77841299999999,
Yolo County Office of Education,Greengate Center for Exception,285 W. Beamer St. Woodland CA 95695,9.6,ppb,True,tested,Woodland,Yolo County,38.684788,-121.79705700000001,9.6
Davis Joint Unified,King (Martin Luther) High (Continuation),635 B Street Davis CA 95616-3853,,,False,tested,,Yolo County,38.54892,-121.74630900000001,
Woodland Joint Unified,Lee Middle,520 West Street Woodland CA 95695-3798,,,False,tested,Woodland,Yolo County,38.674576,-121.785652,
Esparto Unified,Madison Community High,17923 Stephens Street Madison CA 95653,,,,not tested,,Yolo County,38.679575,-121.97167900000001,
Davis Joint Unified,Marguerite Montgomery Elementary,1441 Danbury Drive Davis CA 95616-4892,,,False,tested,Davis,Yolo County,38.541451,-121.716295,
Davis Joint Unified,North Davis Elementary,555 East 14th Street Davis CA 95616-2097,,,False,tested,,Yolo County,38.556708,-121.744426,
Davis Joint Unified,Oliver Wendell Holmes Junior High,1220 Drexel Drive Davis CA 95616-2123,,,False,tested,,Yolo County,38.557192,-121.73813200000001,
Davis Joint Unified,Patwin Elementary,2222 Shasta Drive Davis CA 95616-6634,,,False,tested,,Yolo County,38.55531,-121.77933,
Davis Joint Unified,Pioneer Elementary,5215 Hamel Street Davis CA 95616-4426,,,False,tested,,Yolo County,38.551228,-121.68578400000001,
Woodland Joint Unified,Pioneer High,1400 Pioneer Avenue Woodland CA 95776-5152,,,False,tested,Woodland,Yolo County,38.659873,-121.740499,
Davis Joint Unified,Ralph Waldo Emerson Junior High,2121 Calaveras Avenue Davis CA 95616-3022,7.4,ppb,True,tested,,Yolo County,38.550678000000005,-121.77869199999999,7.4
Woodland Joint Unified,Ramon S. Tafoya Elementary,720 Homestead Way Woodland CA 95776-4934,,,False,tested,Woodland,Yolo County,38.671591,-121.73902,
Woodland Joint Unified,Rhoda Maxwell Elementary,50 Ashley Avenue Woodland CA 95695-2504,9.5,ppb,True,tested,Woodland,Yolo County,38.684003999999995,-121.79793899999999,9.5
Washington Unified,River Charter Schools Lighthouse Charter,1500 Park Boulevard West Sacramento CA 95691-3927,,,False,tested,,Yolo County,38.57136,-121.530804,
Washington Unified,River City High,1 Raider Lane West Sacramento CA 95691-4619,,,False,tested,West Sacramento,Yolo County,38.546915999999996,-121.539327,
Washington Unified,Riverbank Elementary,1100 Carrie Street West Sacramento CA 95605-2046,,,False,tested,,Yolo County,38.599872999999995,-121.52888100000001,
Davis Joint Unified,Robert E. Willett Elementary,1207 Sycamore Lane Davis CA 95616-1740,,,False,tested,,Yolo County,38.554679,-121.76574099999999,
Woodland Joint Unified,Science & Technology Academy at Knights Landing,9544 Mill Street Knights Landing CA 95645,,,False,tested,,Yolo County,38.798235,-121.720519,
Washington Unified,Southport Elementary,2747 Linden Road West Sacramento CA 95691-4258,,,False,tested,West Sacramento,Yolo County,38.551773,-121.54858,
Washington Unified,Stonegate Elementary,2500 La Jolla Street West Sacramento CA 95691-4947,,,False,tested,West Sacramento,Yolo County,38.552593,-121.524542,
Woodland Joint Unified,T. L. Whitehead Elementary,624 West Southwood Drive Woodland CA 95695-4304,,,False,tested,Woodland,Yolo County,38.669319,-121.794604,
Washington Unified,Washington Middle College High,1504 Fallbrook Street West Sacramento CA 95691-3622,11.0,ppb,True,tested,,Yolo County,38.569814,-121.53419,11.0
