district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Solana Beach Elementary,Carmel Creek Elementary,4210 Carmel Center Road San Diego CA 92130-2480,NA,NA,NA,not tested,San Diego,San Diego County,32.951361,-117.225728
Solana Beach Elementary,Skyline Elementary,606 Lomas Santa Fe Drive Solana Beach CA 92075-1400,NA,NA,NA,not tested,Solana Beach,San Diego County,32.996432,-117.261816
Solana Beach Elementary,Solan Vista Elementary,"780 Santa Victoria, Solana Beach, CA 92075",NA,NA,NA,exempt,Solana Beach,San Diego County,33.004226,-117.250185
Solana Beach Elementary,Solana Highlands Elementary,3520 Long Run Drive San Diego CA 92130-1808,NA,NA,NA,not tested,San Diego,San Diego County,32.954355,-117.240164
Solana Beach Elementary,Solana Pacific Elementary,3901 Townsgate Drive San Diego CA 92130-2584,NA,NA,NA,not tested,San Diego,San Diego County,32.952719,-117.229058
Solana Beach Elementary,Solana Ranch Elementary,13605 Pacific Highlands Ranch Parkway San Diego CA 92130-5791,NA,NA,NA,not tested,San Diego,San Diego County,32.965978,-117.191252
Solana Beach Elementary,Solana Santa Fe Elementary,6570 El Apajo Rancho Santa Fe CA 92067-8940,NA,NA,NA,not tested,NA,San Diego County,32.998186,-117.19645
Solana Beach Elementary,Solana Vista,"780 Santa Victoria, Solana Beach, CA 92075",NA,NA,NA,exempt,Solana Beach,San Diego County,33.004226,-117.250185
Solana Beach Elementary,Solana Vista Elementary,780 Santa Victoria Avenue Solana Beach CA 92075-1535,NA,NA,NA,not tested,Solana Beach,San Diego County,33.004226,-117.250185
