district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
West Sonoma County Union High,Analy High,6950 Analy Avenue Sebastopol CA 95472-3401,,,False,tested,Sebastopol,Sonoma County,38.406771,-122.82611399999999,
West Sonoma County Union High,El Molino High,7050 Covey Road Forestville CA 95436-9642,,,False,tested,,Sonoma County,38.481840999999996,-122.89024099999999,
West Sonoma County Union High,Laguna High,445 Taft Street Sebastopol CA 95472-3443,,,False,tested,Sebastopol,Sonoma County,38.405996,-122.823829,
West Sonoma County Union High,West County Charter Middle,6321 State Highway 116 Forestville CA 95436,,,False,tested,Forestville,Sonoma County,38.47332,-122.888076,
West Sonoma County Union High,West Sonoma County Consortium,462 Johnson Street Sebastopol CA 95472-3431,11.0,ppb,True,tested,Sebastopol,Sonoma County,38.406653999999996,-122.822328,11.0
