district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Hamilton Unified,Ella Barkley High,Highway 32 And Los Robles Street 300 Sixth Street Hamilton City CA 95951-0488,NA,NA,FALSE,tested,Hamilton City,Glenn County,39.745709,-122.016704
Hamilton Unified,Hamilton Community Day,535 Sacramento Avenue Hamilton City CA 95951-0488,NA,NA,FALSE,tested,NA,Glenn County,39.746279,-122.00889
Hamilton Unified,Hamilton Elementary,277 Capay Avenue Hamilton City CA 95951-0277,5.75,ppb,TRUE,tested,NA,Glenn County,39.738667,-122.015204
Hamilton Unified,Hamilton High,620 Canal Street Hamilton City CA 95951-0488,NA,NA,FALSE,tested,NA,Glenn County,39.740073,-122.017136
