district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Arvin Union,Bear Mountain Elementary,1501 Hood Street Arvin CA 93203-1413,NA,NA,NA,not tested,NA,Kern County,35.2035,-118.840172
Arvin Union,El Camino Real Elementary,911 El Camino Real Road Arvin CA 93203-9451,NA,NA,NA,not tested,NA,Kern County,35.187065,-118.835969
Arvin Union,Haven Drive Middle,341 Haven Drive Arvin CA 93203-1413,NA,NA,NA,not tested,NA,Kern County,35.205376,-118.827347
Arvin Union,Sierra Vista Elementary,300 Franklin Street Arvin CA 93203-1413,NA,NA,NA,not tested,NA,Kern County,35.2019,-118.827535
