district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Vallecito Union,Albert A. Michelson Elementary,196 Pennsylvania Gulch Road Murphys CA 95247-9521,,,False,tested,Murphys,Calaveras County,38.133455,-120.45452900000001,
Vallecito Union,Avery Middle,4545 Moran Road Avery CA 95224,,,False,tested,Arnold,Calaveras County,38.201889,-120.36548300000001,
Vallecito Union,Hazel Fischer Elementary,1605 Blagen Road Arnold CA 95223,,,False,tested,Arnold,Calaveras County,38.264369,-120.341536,
