district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Alisal Union,Alisal Community,1437 Del Monte Avenue Salinas CA 93905-1902,,,,not tested,Salinas,Monterey County,36.682074,-121.604924,
Alisal Union,Bardin Elementary,425 Bardin Road Salinas CA 93905-3025,,,,not tested,Salinas,Monterey County,36.674083,-121.60198899999999,
Alisal Union,Cesar E. Chavez Elementary,1225 Towt Street Salinas CA 93905-4125,,,,not tested,Salinas,Monterey County,36.68785,-121.60307900000001,
Alisal Union,Creekside Elementary,1770 Kittery Street Salinas CA 93906-5080,,,,not tested,Salinas,Monterey County,36.70427,-121.61160100000001,
Alisal Union,"Dr. Martin Luther King, Jr. Academy",925 North Sanborn Road Salinas CA 93905-1308,,,,not tested,Salinas,Monterey County,36.685390999999996,-121.61668999999999,
Alisal Union,Frank Paul Elementary,1300 Rider Avenue Salinas CA 93905-1263,,,,not tested,Salinas,Monterey County,36.694866,-121.607973,
Alisal Union,Fremont Elementary,1255 East Market Street Salinas CA 93905-2831,,,,not tested,Salinas,Monterey County,36.676543,-121.62053600000002,
Alisal Union,Jesse G. Sanchez Elementary,901 North Sanborn Road Salinas CA 93905-1308,,,,not tested,Salinas,Monterey County,36.685136,-121.617148,
Alisal Union,John E. Steinbeck Elementary,1714 Burlington Drive Salinas CA 93906-4411,,,False,tested,Salinas,Monterey County,36.709764,-121.617749,
Alisal Union,Monte Bella Elementary,1300 Tuscany Blvd Salinas CA 93905-2292,,,,not tested,Salinas,Monterey County,36.682256,-121.59686699999999,
Alisal Union,Oasis Charter Public,1135 Westridge Parkway Salinas CA 93907-2529,,,False,tested,Salinas,Monterey County,36.705447,-121.670204,
Alisal Union,Oscar F. Loya Elementary,1505 Cougar Drive Salinas CA 93905-4722,,,,not tested,Salinas,Monterey County,36.689176,-121.594228,
Alisal Union,Virginia Rocca Barton Elementary,680 Las Casitas Drive Salinas CA 93905-1200,,,,not tested,Salinas,Monterey County,36.696490999999995,-121.61407,
