district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Claremont Unified,Chaparral Elementary,451 Chaparral Drive Claremont CA 91711-2643,,,False,tested,Claremont,Los Angeles County,34.116175,-117.70825,
Claremont Unified,Claremont Adult,170 West San Jose Avenue Claremont CA 91711-2643,,,,not tested,Claremont,Los Angeles County,34.083086,-117.715818,
Claremont Unified,Claremont High,1601 North Indian Hill Boulevard Claremont CA 91711-2643,,,,not tested,Claremont,Los Angeles County,34.112808,-117.72026699999999,
Claremont Unified,Community Day,125 West San Jose Avenue Claremont CA 91711-5205,,,,not tested,Claremont,Los Angeles County,34.083089,-117.71531,
Claremont Unified,Condit Elementary,1750 North Mountain Avenue Claremont CA 91711-2643,,,,not tested,Claremont,Los Angeles County,34.115964,-117.72888400000001,
Claremont Unified,Danbury Special Education,1745 Lynoak Drive Claremont CA 91711-2421,,,,not tested,Claremont,Los Angeles County,34.115248,-117.740099,
Claremont Unified,El Roble Intermediate,665 North Mountain Avenue Claremont CA 91711-4253,,,,not tested,Claremont,Los Angeles County,34.100312,-117.72911599999999,
Claremont Unified,Oakmont Elementary,120 West Green Street Claremont CA 91711-4912,,,,not tested,Claremont,Los Angeles County,34.092123,-117.71534299999999,
Claremont Unified,San Antonio High (Continuation),125 West San Jose Ave Claremont CA 91711-5205,,,,not tested,Claremont,Los Angeles County,34.083089,-117.71531,
Claremont Unified,Sumner Elementary,1770 Sumner Avenue Claremont CA 91711-3031,,,,not tested,Claremont,Los Angeles County,34.115359000000005,-117.741946,
Claremont Unified,Sycamore Elementary,225 West Eighth Street Claremont CA 91711-4317,,,,not tested,Claremont,Los Angeles County,34.101863,-117.717475,
Claremont Unified,Vista del Valle Elementary,550 Vista Drive Claremont CA 91711-5120,,,,not tested,Claremont,Los Angeles County,34.086664,-117.721672,
