district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Golden Plains Unified,Cantua Elementary,29288 West Clarkson Cantua Creek CA 93608,,,False,tested,Cantua Creek,Fresno County,36.501305,-120.32004199999999,
Golden Plains Unified,Helm Elementary,13883 South Lassen Avenue Helm CA 93627-9900,,,,not tested,,Fresno County,36.533151000000004,-120.099579,
Golden Plains Unified,San Joaquin Elementary,8535 South Ninth San Joaquin CA 93660,,,False,tested,San Joaquin,Fresno County,36.609218,-120.187114,
Golden Plains Unified,Tranquillity Elementary,6116 South Daniels Tranquillity CA 93668-0520,,,,not tested,Tranquillity,Fresno County,36.644332,-120.253328,
Golden Plains Unified,Tranquillity High,6052 Juanche Street Tranquillity CA 93668,,,,not tested,,Fresno County,36.645934999999994,-120.253202,
