district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Cypress Elementary,A. E. Arnold Elementary,9281 Denni Street Cypress CA 90630-2724,6.55,ppb,TRUE,tested,Cypress,Orange County,33.824705,-118.054602
Cypress Elementary,Clara J. King Elementary,8710 Moody Street Cypress CA 90630-2220,NA,NA,FALSE,tested,Cypress,Orange County,33.814886,-118.04551
Cypress Elementary,Frank Vessels Elementary,5900 Cathy Ave Cypress CA 90630-4615,9.9,ppb,TRUE,tested,Cypress,Orange County,33.81166,-118.030091
Cypress Elementary,Juliet Morris Elementary,9952 Graham Street Cypress CA 90630-3815,5.8,ppb,TRUE,tested,Cypress,Orange County,33.818178,-118.034526
Cypress Elementary,Margaret Landell Elementary,9739 Denni Street Cypress CA 90630-3447,NA,NA,NA,not tested,Cypress,Orange County,33.819769,-118.054527
Cypress Elementary,Steve Luther Elementary,4631 La Palma Ave La Palma CA 90623-1620,5.04,ppb,TRUE,tested,La Palma,Orange County,33.846355,-118.041088
