district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
San Mateo-Foster City,Abbott Middle,600 36th Avenue San Mateo CA 94403-4101,,,,not tested,San Mateo,San Mateo County,37.529614,-122.30883700000001,
San Mateo-Foster City,Audubon Elementary,841 Gull Avenue Foster City CA 94404-1427,,,False,tested,Foster City,San Mateo County,37.567170000000004,-122.259322,
San Mateo-Foster City,Bayside S.T.E.M. ACADEMY,2025 Kehoe Avenue San Mateo CA 94403-1061,,,,not tested,San Mateo,San Mateo County,37.565469,-122.29589399999999,
San Mateo-Foster City,Baywood Elementary,600 Alameda de Las Pulgas San Mateo CA 94402-3358,,,,not tested,San Mateo,San Mateo County,37.552625,-122.331876,
San Mateo-Foster City,Beresford Elementary,300 28th Avenue San Mateo CA 94403-2405,,,,not tested,San Mateo,San Mateo County,37.539123,-122.30928600000001,
San Mateo-Foster City,Borel Middle,425 Barneson Avenue San Mateo CA 94402-3405,,,,not tested,San Mateo,San Mateo County,37.550321000000004,-122.322243,
San Mateo-Foster City,Bowditch Middle,1450 Tarpon Street Foster City CA 94404-1938,,,False,tested,Foster City,San Mateo County,37.560347,-122.250543,
San Mateo-Foster City,Brewer Island Elementary,1151 Polynesia Drive Foster City CA 94404-1749,,,False,tested,Foster City,San Mateo County,37.560764,-122.260798,
San Mateo-Foster City,College Park Elementary,715-A Indian Avenue San Mateo CA 94401-1768,,,,not tested,San Mateo,San Mateo County,37.576774,-122.32699699999999,
San Mateo-Foster City,Fiesta Gardens International Elementary,1001 Bermuda Drive San Mateo CA 94403-1508,,,,not tested,San Mateo,San Mateo County,37.551272999999995,-122.2994,
San Mateo-Foster City,Foster City Elementary,461 Beach Park Boulevard Foster City CA 94404-2713,6.1,ppb,True,tested,Foster City,San Mateo County,37.545507,-122.273119,6.1
San Mateo-Foster City,George Hall Elementary,130 San Miguel Way San Mateo CA 94403-2954,,,,not tested,San Carlos,San Mateo County,37.489221,-122.27030800000001,
San Mateo-Foster City,Highlands Elementary,2320 Newport Street San Mateo CA 94402-3838,,,,not tested,,San Mateo County,37.523475,-122.349503,
San Mateo-Foster City,Laurel Elementary,316 36th Avenue San Mateo CA 94403-4204,,,,not tested,San Mateo,San Mateo County,37.531729,-122.303706,
San Mateo-Foster City,LEAD Elementary,949 Ocean View Avenue San Mateo CA 94401-3462,,,,not tested,San Mateo,San Mateo County,37.570401000000004,-122.30358400000001,
San Mateo-Foster City,Meadow Heights Elementary,2619 Dolores Street San Mateo CA 94403-2644,,,,not tested,San Mateo,San Mateo County,37.539006,-122.317126,
San Mateo-Foster City,North Shoreview Montessori Elementary,1301 Cypress Avenue San Mateo CA 94401-2007,,,,not tested,San Mateo,San Mateo County,37.574523,-122.316377,
San Mateo-Foster City,Parkside Elementary,1685 Eisenhower Street San Mateo CA 94402-1045,,,,not tested,San Mateo,San Mateo County,37.560326,-122.29683,
San Mateo-Foster City,San Mateo Park Elementary,161 Clark Drive San Mateo CA 94402-1002,,,,not tested,San Mateo,San Mateo County,37.569842,-122.34261799999999,
San Mateo-Foster City,San Mateo-Foster City Special Education Preschool,1170 Chess Drive Foster City CA 94404-1107,,,,not tested,Foster City,San Mateo County,37.565938,-122.273101,
San Mateo-Foster City,Sunnybrae Elementary,1031 South Delaware Street San Mateo CA 94402-1855,,,,not tested,San Mateo,San Mateo County,37.548229,-122.304781,
