district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Mendota Unified,McCabe Elementary,250 South Derrick Street Mendota CA 93640-2049,,,False,tested,Mendota,Fresno County,36.759651,-120.386697,
Mendota Unified,Mendota Community Day,241 Smoot Avenue Mendota CA 93640-2234,,,,not tested,,Fresno County,36.755241999999996,-120.38976299999999,
Mendota Unified,Mendota Continuation High,211 Smoot Avenue Mendota CA 93640-2234,,,,not tested,,Fresno County,36.755246,-120.389288,
Mendota Unified,Mendota Elementary,605 Bass Avenue Mendota CA 93640-2178,,,,not tested,,Fresno County,36.767027,-120.381541,
Mendota Unified,Mendota High,1200 Belmont Avenue Mendota CA 93640,,,False,tested,,Fresno County,36.749219000000004,-120.37344099999999,
Mendota Unified,Mendota Junior High,1258 East Belmont Avenue Mendota CA 93640-2049,,,,not tested,Mendota,Fresno County,36.748086,-120.38267900000001,
Mendota Unified,Washington Elementary,1599 Fifth Street Mendota CA 93640-2359,,,False,tested,Mendota,Fresno County,36.755838,-120.38278799999999,
