district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Perris Elementary,Clearwater Elementary,1640 Murrieta Road Perris CA 92571,,,,not tested,Perris,Riverside County,33.802721999999996,-117.208992,
Perris Elementary,Enchanted Hills Elementary,1357 Mount Baldy Street Perris CA 92570-1884,,,False,tested,Perris,Riverside County,33.784683,-117.25648100000001,
Perris Elementary,Good Hope Elementary,24050 Theda Street Perris CA 92570-7526,,,False,tested,Perris,Riverside County,33.771233,-117.274372,
Perris Elementary,Innovative Horizons Charter,1461 North A Street Perris CA 92570-1968,7.2,ppb,True,tested,Perris,Riverside County,33.799661,-117.234697,7.2
Perris Elementary,Palms Elementary,255 East Jarvis Perris CA 92571-2825,,,False,tested,Perris,Riverside County,33.791951,-117.22551599999998,
Perris Elementary,Perris Elementary,500 A Street Perris CA 92571-1956,5.2,ppb,True,tested,Perris,Riverside County,33.78144,-117.234862,5.2
Perris Elementary,Railway Elementary,555 Alpine Drive Perris CA 92570-6216,,,False,tested,Perris,Riverside County,33.761142,-117.23383600000001,
Perris Elementary,Rob Reiner Children & Families Center,2221 South A Street Perris CA 92570-9318,,,False,tested,Perris,Riverside County,33.758846999999996,-117.234679,
Perris Elementary,Sky View Elementary,625 Mildred Street Perris CA 92570-3930,,,False,tested,Perris,Riverside County,33.795639,-117.221682,
