district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Antelope Elementary,Antelope Elementary,22630 Antelope Blvd Red Bluff CA 96080-8871,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.185828,-122.195512
Red Bluff Union Elementary,Bidwell Elementary,1256 Walnut Street Red Bluff CA 96080-3603,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.173025,-122.246484
Red Bluff Union Elementary,Jackson Heights Elementary,225 South Jackson Street Red Bluff CA 96080-3917,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.167453,-122.237723
Tehama County Department of Education,Lincoln Street,1125 Lincoln Street Red Bluff CA 96080,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.177894,-122.244565
Red Bluff Union Elementary,Red Bluff Community Day,1050A Dumosa Street Red Bluff CA 96080-3221,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.173175,-122.251533
Red Bluff Union Elementary,Red Bluff Community Day K-5,695 Kimball Rd Red Bluff CA 96080-4447,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.1572,-122.233826
Red Bluff Joint Union High,Red Bluff High,1260 Union Street Red Bluff CA 96080-3121,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.180248,-122.239456
Red Bluff Joint Union High,Salisbury High (Continuation),1050 Kimball Rd Red Bluff CA 96080-2502,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.157405,-122.240513
Tehama County ROP,Tehama County ROP,1135 Lincoln Street Red Bluff CA 96080-3125,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.177929,-122.244596
Tehama County Department of Education,Tehama County Special Education,900 Palm Street Red Bluff CA 96080-2626,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.181789,-122.249249
Tehama County Department of Education,Tehama eLearning Academy,"715 Jackson Street, Suite B Red Bluff CA 96080-3771",NA,NA,NA,not tested,Red Bluff,Tehama County,40.175149,-122.240794
Red Bluff Union Elementary,Vista Preparatory Academy,1770 South Jackson Street Red Bluff CA 96080-4505,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.157302,-122.237908
Red Bluff Union Elementary,William M. Metteer Elementary,695 Kimball Road Red Bluff CA 96080-4901,NA,NA,FALSE,tested,Red Bluff,Tehama County,40.1572,-122.233826
