district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
San Mateo-Foster City,Abbott Middle,600 36th Avenue San Mateo CA 94403-4101,,,,not tested,San Mateo,San Mateo County,37.529614,-122.30883700000001,
San Mateo Union High,Aragon High,900 Alameda de Las Pulgas San Mateo CA 94402-3357,,,False,tested,San Mateo,San Mateo County,37.550384,-122.32996899999999,
San Mateo-Foster City,Bayside S.T.E.M. ACADEMY,2025 Kehoe Avenue San Mateo CA 94403-1061,,,,not tested,San Mateo,San Mateo County,37.565469,-122.29589399999999,
San Mateo-Foster City,Baywood Elementary,600 Alameda de Las Pulgas San Mateo CA 94402-3358,,,,not tested,San Mateo,San Mateo County,37.552625,-122.331876,
San Mateo-Foster City,Beresford Elementary,300 28th Avenue San Mateo CA 94403-2405,,,,not tested,San Mateo,San Mateo County,37.539123,-122.30928600000001,
San Mateo-Foster City,Borel Middle,425 Barneson Avenue San Mateo CA 94402-3405,,,,not tested,San Mateo,San Mateo County,37.550321000000004,-122.322243,
Private,Centennial Montessori School,6 Tenth Avenue San Mateo CA 94401,,,False,tested,San Mateo,San Mateo County,37.557345,-122.319189,
San Mateo County ROP,Centennial Montessori School,27 Tenth Ave San Mateo CA 94401,,,False,tested,San Mateo,San Mateo County,37.558163,-122.31883400000001,
San Mateo-Foster City,College Park Elementary,715-A Indian Avenue San Mateo CA 94401-1768,,,,not tested,San Mateo,San Mateo County,37.576774,-122.32699699999999,
Private,Compass High School,2040 Pioneer Court San Mateo CA 94440,,,False,tested,San Mateo,San Mateo County,37.547042,-122.312151,
San Mateo-Foster City,Fiesta Gardens International Elementary,1001 Bermuda Drive San Mateo CA 94403-1508,,,,not tested,San Mateo,San Mateo County,37.551272999999995,-122.2994,
San Mateo County Office of Education,Gateway Center,35 Tower Road San Mateo CA 94402-4000,,,,not tested,San Mateo,San Mateo County,37.515619,-122.334115,
San Mateo Union High,Hillsdale High,3115 Del Monte Street San Mateo CA 94403-3800,8.4,ppb,True,tested,San Mateo,San Mateo County,37.532205,-122.31506100000001,8.4
Private,Junipero Serra High School,451 West 20th Avenue San Mateo CA 94403,5.5,ppb,True,tested,San Mateo,San Mateo County,37.5469,-122.315243,5.9
San Mateo-Foster City,Laurel Elementary,316 36th Avenue San Mateo CA 94403-4204,,,,not tested,San Mateo,San Mateo County,37.531729,-122.303706,
San Mateo-Foster City,LEAD Elementary,949 Ocean View Avenue San Mateo CA 94401-3462,,,,not tested,San Mateo,San Mateo County,37.570401000000004,-122.30358400000001,
San Mateo County Office of Education,Margaret J. Kemp,400 Paul Scannell Drive San Mateo CA 94402,,,,not tested,San Mateo,San Mateo County,37.511272999999996,-122.338628,
San Mateo-Foster City,Meadow Heights Elementary,2619 Dolores Street San Mateo CA 94403-2644,,,,not tested,San Mateo,San Mateo County,37.539006,-122.317126,
San Mateo-Foster City,North Shoreview Montessori Elementary,1301 Cypress Avenue San Mateo CA 94401-2007,,,,not tested,San Mateo,San Mateo County,37.574523,-122.316377,
San Mateo-Foster City,Parkside Elementary,1685 Eisenhower Street San Mateo CA 94402-1045,,,,not tested,San Mateo,San Mateo County,37.560326,-122.29683,
San Mateo Union High,San Mateo High,506 North Delaware Street San Mateo CA 94401-1700,,,False,tested,San Mateo,San Mateo County,37.576091999999996,-122.329723,
San Mateo-Foster City,San Mateo Park Elementary,161 Clark Drive San Mateo CA 94402-1002,,,,not tested,San Mateo,San Mateo County,37.569842,-122.34261799999999,
Private,St. Timothy School,1515 Dolan Avenue San Mateo CA 94401,9.5,ppb,True,tested,San Mateo,San Mateo County,37.575309000000004,-122.310543,9.5
San Mateo-Foster City,Sunnybrae Elementary,1031 South Delaware Street San Mateo CA 94402-1855,,,,not tested,San Mateo,San Mateo County,37.548229,-122.304781,
Private,The Carey School,2101 Alameda de las Pulgas San Mateo CA 94403,,,False,tested,San Mateo,San Mateo County,37.544721,-122.319625,
