district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Brea-Olinda Unified,Arovista Elementary,900 Eadington Drive Brea CA 92821-5298,,,False,tested,Brea,Orange County,33.913696,-117.911997,
Brea-Olinda Unified,Brea Canyon High (Continuation),689 North Wildcat Way Brea CA 92821-7400,6.0,ppb,True,tested,Brea,Orange County,33.92958,-117.87518600000001,6.5
Brea-Olinda Unified,Brea Country Hills Elementary,150 North Associated Road Brea CA 92821-4669,17.0,ppb,True,tested,Brea,Orange County,33.920472,-117.873107,17.0
Brea-Olinda Unified,Brea Junior High,400 North Brea Boulevard Brea CA 92821-3399,14.0,ppb,True,tested,Brea,Orange County,33.92631,-117.894576,14.0
Brea-Olinda Unified,Brea-Olinda High,789 North Wildcat Way Brea CA 92821-7400,,,False,tested,Brea,Orange County,33.931962,-117.87597199999999,
Private,Christ Lutheran,820 West Imperial Highway Brea CA 92821,,,False,tested,Brea,Orange County,33.917553000000005,-117.911302,
Private,Heights Christian School / Brea,200 South Associated Road Brea CA 92821,,,False,tested,Brea,Orange County,33.917260999999996,-117.87603500000002,
Brea-Olinda Unified,Laurel Elementary,200 South Flower Avenue Brea CA 92821-4944,,,False,tested,Brea,Orange County,33.916069,-117.896975,
Brea-Olinda Unified,Mariposa Elementary,1111 West Mariposa Drive Brea CA 92821-2599,,,False,tested,Brea,Orange County,33.935145,-117.896934,
Private,Montessori of Brea Inc.,701 Mulberry Avenue Brea CA 92821,,,False,tested,Brea,Orange County,33.9106,-117.90730900000001,
Brea-Olinda Unified,Olinda Elementary,3145 East Birch Street Brea CA 92821-6250,,,False,tested,Brea,Orange County,33.919475,-117.853967,
Private,St. Angela Merici Elementary,575 South Walnut Avenue Brea CA 92821,,,False,tested,Brea,Orange County,33.912094,-117.904174,
Brea-Olinda Unified,William E. Fanning Elementary,650 North Apricot Brea CA 92821-3501,,,False,tested,Brea,Orange County,33.928276000000004,-117.887751,
