district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Lynwood Unified,Cesar Chavez Middle,3898 Abbott Road Lynwood CA 90262-2106,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.935993,-118.204113
Lynwood Unified,Helen Keller Elementary,3521 Palm Avenue Lynwood CA 90262-5127,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.913618,-118.207642
Lynwood Unified,Hosler Middle,11300 Spruce Street Lynwood CA 90262-3629,5.7,ppb,TRUE,tested,Lynwood,Los Angeles County,33.926292,-118.203181
Lynwood Unified,Janie P. Abbott Elementary,5260 East Clark Street Lynwood CA 90262-5443,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.910086,-118.187138
Lynwood Unified,Lincoln Elementary,11031 State Street Lynwood CA 90262-2454,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.93798,-118.215278
Lynwood Unified,Lindbergh Elementary,3300 Cedar Avenue Lynwood CA 90262-4850,5.1,ppb,TRUE,tested,Lynwood,Los Angeles County,33.918932,-118.212836
Private,Lynwood Academic Academy,3919 Carlin Avenue Lynwood CA 90262,8.2,ppb,TRUE,tested,Lynwood,Los Angeles County,33.913074,-118.201313
Lynwood Unified,Lynwood Adult,11277 Atlantic Avenue Lynwood CA 90262-5106,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.923971,-118.186447
Lynwood Unified,Lynwood Alternative,11387 Bullis Road Lynwood CA 90262-3660,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.926462,-118.199918
Lynwood Unified,Lynwood High,4050 East Imperial Highway Lynwood CA 90262-2853,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.930709,-118.182973
Lynwood Unified,Lynwood Middle,12124 Bullis Road Lynwood CA 90262-5106,5.1,ppb,TRUE,tested,Lynwood,Los Angeles County,33.916555,-118.204413
Lynwood Unified,Marco Antonio Firebaugh High,5246 Martin Luther King Boulevard Lynwood CA 90262-3903,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.918801,-118.182022
Lynwood Unified,Mark Twain Elementary,12315 Thorson Avenue Lynwood CA 90262-5243,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.913011,-118.197487
Los Angeles Unified,Montara Avenue Elementary,10018 Montara Avenue South Gate CA 90280-5605,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.944684,-118.217835
LAUSD,MONTARA ELEMENTARY,"10018 MONTARA AVE, SOUTH GATE,     CA 90280",NA,NA,NA,exempt,Lynwood,Los Angeles County,33.944684,-118.217835
Lynwood Unified,Pathway Independent Study,11300 Wright Road Lynwood CA 90262-3126,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.921341,-118.180454
Lynwood Unified,Rosa Parks Elementary,3900 Agnes Street Lynwood CA 90262-4415,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.91708,-118.201576
Lynwood Unified,Thurgood Marshall Elementary,3593 Martin Luther King Boulevard Lynwood CA 90262-2048,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.933966,-118.20394
Lynwood Unified,Vista High,11300 Wright Rd. Lynwood CA 90262-3126,5.6,ppb,TRUE,tested,Lynwood,Los Angeles County,33.921341,-118.180454
Lynwood Unified,Washington Elementary,4225 Sanborn Avenue Lynwood CA 90262-2998,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.924325,-118.190044
Compton Unified,Whaley Middle,14401 South Gibson Avenue Compton CA 90221-2514,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.902638,-118.189357
Lynwood Unified,Will Rogers Elementary,11220 Duncan Avenue Lynwood CA 90262-3041,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.924179,-118.182913
Lynwood Unified,Wilson Elementary,11700 School Street Lynwood CA 90262-4348,NA,NA,FALSE,tested,Lynwood,Los Angeles County,33.920692,-118.20708
