district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
San Mateo Union High,Burlingame High,1 Mangini Way Burlingame CA 94010-2708,,,False,tested,Burlingame,San Mateo County,37.582181,-122.347167,
Burlingame Elementary,Burlingame Intermediate,1715 Quesada Way Burlingame CA 94010-5701,9.0,ppb,True,tested,Burlingame,San Mateo County,37.58802,-122.384723,9.0
San Mateo Union High,Design Tech High,1800 Rollins Road Burlingame CA 94010-2205,,,,not tested,Burlingame,San Mateo County,37.597827,-122.37996100000001,
Burlingame Elementary,Franklin Elementary,2385 Trousdale Drive Burlingame CA 94010-5704,,,False,tested,Burlingame,San Mateo County,37.588631,-122.389058,
Burlingame Elementary,Hoover Elementary School,2220 Summit Drive Burlingame CA 94010,,,False,tested,Burlingame,San Mateo County,37.577211,-122.380622,
Burlingame Elementary,Lincoln Elementary,1801 Devereux Drive Burlingame CA 94010-4641,,,False,tested,Burlingame,San Mateo County,37.587964,-122.378317,
Burlingame Elementary,McKinley Elementary,701 Paloma Avenue Burlingame CA 94010-3728,,,False,tested,Burlingame,San Mateo County,37.579094,-122.35596100000001,
Private,Mercy High,2750 Adeline Drive Burlingame CA 94010,,,False,tested,Burlingame,San Mateo County,37.582652,-122.38306399999999,
Private,Our Lady of Angels Elementary,1328 Cabrillo Avenue Burlingame CA 94010,,,False,tested,Burlingame,San Mateo County,37.584734999999995,-122.37216399999998,
Private,Pacific Rim International School,454 Peninsula Avenue San Mateo CA 94401,,,False,tested,Burlingame,San Mateo County,37.580678000000006,-122.33424699999999,
Private,Palcare,945 California Dr Burlingame CA 94010,,,False,tested,Burlingame,San Mateo County,37.585342,-122.358519,
Burlingame Elementary,Roosevelt Elementary,1151 Vancouver Avenue Burlingame CA 94010-5674,,,False,tested,Burlingame,San Mateo County,37.57906,-122.368119,
Private,Village Park Preschool,1535 California Dr Burlingame CA 94010,,,False,tested,Burlingame,San Mateo County,37.591861,-122.374094,
Burlingame Elementary,Washington Elementary,801 Howard Avenue Burlingame CA 94010-3006,,,False,tested,Burlingame,San Mateo County,37.580858,-122.340351,
