district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue San Leandro CA 94578-1005,,,,not tested,San Leandro,Alameda County,37.716042,-122.11835900000001,
Private,Assumption,1851 136th Avenue San Leandro CA 94578,9.45,ppb,True,tested,San Leandro,Alameda County,37.719714,-122.136845,11.0
San Leandro Unified,Bancroft Middle,1150 Bancroft Avenue San Leandro CA 94577-3863,10.65,ppb,True,tested,San Leandro,Alameda County,37.72815,-122.14813000000001,28.0
San Leandro Unified,Barbara Lee Center for Health and Wellness,2251 Bancroft Ave San Leandro CA 94577,,,False,tested,San Leandro,Alameda County,37.721672999999996,-122.145482,
San Leandro Unified,Burrell Pacific Sports Complex,Teagarden Street San Leandro CA 94577,,,False,tested,San Leandro,Alameda County,37.707363,-122.15931299999998,
San Lorenzo Unified,Corvallis Elementary,14790 Corvallis Street San Leandro CA 94579-1174,7.65,ppb,True,tested,San Leandro,Alameda County,37.696258,-122.151655,7.9
San Lorenzo Unified,Dayton Elementary,1500 Dayton Avenue San Leandro CA 94579-1528,,,False,tested,San Leandro,Alameda County,37.687912,-122.15720900000001,
San Leandro Unified,Garfield Elementary,13050 Aurora Drive San Leandro CA 94577-3159,6.5,ppb,True,tested,San Leandro,Alameda County,37.704264,-122.18613700000002,15.0
San Lorenzo Unified,Hesperian Elementary,620 Drew Street San Lorenzo CA 94580-1046,,,False,tested,San Leandro,Alameda County,37.693987,-122.12520900000001,
San Lorenzo Unified,Hillside Elementary,15980 Marcella Street San Leandro CA 94578-2122,,,False,tested,San Leandro,Alameda County,37.701941999999995,-122.116717,
San Leandro Unified,Jefferson Elementary,14300 Bancroft Avenue San Leandro CA 94578-1727,,,False,tested,San Leandro,Alameda County,37.713035999999995,-122.135659,
San Leandro Unified,John Muir Middle,1444 Williams Street San Leandro CA 94577-2403,,,False,tested,San Leandro,Alameda County,37.721329,-122.150893,
San Leandro Unified,Lincoln High (Continuation),2600 Teagarden Street San Leandro CA 94579-1222,,,False,tested,San Leandro,Alameda County,37.709039000000004,-122.160271,
San Leandro Unified,Madison Elementary,14751 Juniper Street San Leandro CA 94579-1222,,,False,tested,San Leandro,Alameda County,37.695629,-122.160449,
San Leandro Unified,McKinley Elementary,2150 East 14th Street San Leandro CA 94577-6025,,,False,tested,San Leandro,Alameda County,37.71901,-122.147849,
San Leandro Unified,Monroe Elementary,3750 Monterey Boulevard San Leandro CA 94578-4116,,,False,tested,San Leandro,Alameda County,37.698133,-122.146121,
San Leandro Unified,Roosevelt Elementary,951 Dowling Boulevard San Leandro CA 94577-2125,,,False,tested,San Leandro,Alameda County,37.736358,-122.14688000000001,
San Leandro Unified,San Leandro Adult,14735 Juniper Street San Leandro CA 94577-6108,,,False,tested,San Leandro,Alameda County,37.695992,-122.160509,
San Leandro Unified,San Leandro High,2200 Bancroft Avenue San Leandro CA 94577-6108,5.8,ppb,True,tested,San Leandro,Alameda County,37.718585,-122.141346,6.1
San Leandro Unified,San Leandro High Fred T Korematsu Campus,13701 Bancroft Ave San Leandro CA 94577,,,False,tested,San Leandro,Alameda County,37.721672999999996,-122.145482,
Private,Seneca Family of Agencies - James Baldwin Academy,2275 Arlington Drive San Leandro CA 94578,8.7,ppb,True,tested,San Leandro,Alameda County,37.70901,-122.111621,11.0
Private,St. Felicitas Catholic School,1650 Manor Boulevard San Leandro CA 94579,,,False,tested,San Leandro,Alameda County,37.691206,-122.158639,
Private,St. Leander,451 Davis Street San Leandro CA 94577,5.35,ppb,True,tested,San Leandro,Alameda County,37.724374,-122.15941000000001,5.6
San Leandro Unified,Washington Elementary,250 Dutton Avenue San Leandro CA 94577-2804,7.3,ppb,True,tested,San Leandro,Alameda County,37.732495,-122.156522,15.0
San Lorenzo Unified,Washington Manor Middle,1170 Fargo Avenue San Leandro CA 94579-1633,14.0,ppb,True,tested,San Leandro,Alameda County,37.688827,-122.149192,14.0
San Leandro Unified,Wilson Elementary,1300 Williams Street San Leandro CA 94577-2401,,,False,tested,San Leandro,Alameda County,37.715301000000004,-122.165543,
San Lorenzo Unified,Woodroe Woods,750  Fargo Ave San Leandro CA 94579,8.1,ppb,True,tested,San Leandro,Alameda County,37.687895000000005,-122.141566,11.0
